"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"STON","23.10","28.60","33.51","0.80","122,447","109,050","0.88%","-4.16%","553.41M","19.35M","18.71M","2.34","8.40%","N/A","10.52","-0.72","-0.72","13.03","0.66","2.67","N/A","2.50","217.22M","26.56M","-12.03M","-5.65%","4.57%","Dec 31","Jun 30, 2011","0.55%","-7.20%","3.81","77.28","12.73M","518.26K","N/A","553.87K","6.00","108,803","28.56","25.28","-11.48","17.39","2845718.40","-28.88"
"STP","1.70","2.46","10.83","3.38","4,289,670","4,763,040","-72.27%","-77.31%","443.77M","180.39M","127.13M","N/A","N/A","N/A","9.16","0.89","0.89","18.87","3.59","0.24","2.76","0.12","3.40B","386.75M","177.29M","4.81%","8.00%","Dec 31","Jun 30, 2011","3.65%","11.40%","0.92","146.55","648.20M","16.88M","N/A","22.57M","3.80","4,243,143","2.51","2.48","-1.20","17.39","9538584.83","-18.59"
"STPP","none","43.93","none","none","none","none","none","none","-17.85%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iPath","1.84M","none","none","none","none","none","none","none","none","none","16,900","43.21","42.41","-1.85","17.39","0.00","-19.24"
"STPZ","none","53.57","none","none","none","none","none","none","3.62%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","PIMCO","1.22B","none","none","none","none","none","none","none","none","none","626,636","53.90","53.62","-0.52","17.39","5459692.70","-17.91"
"STR","16.36","19.09","19.69","0.68","1,951,100","1,754,240","14.04%","9.00%","3.39B","177.51M","175.35M","0.61","3.10%","Jun 19, 2007","6.23","1.13","1.13","6.80","0.00","3.10","16.89","2.85","1.20B","523.10M","201.60M","16.79%","29.83%","Dec 31","Jun 30, 2011","7.11%","19.41%","0.51","101.75","700.00K","5.45M","3.10%","5.80M","3.00","1,728,739","18.74","19.30","2.99","17.39","28216761.78","-14.41"
"STRA","69.34","86.68","165.73","0.71","275,938","180,529","-29.18%","-34.22%","1.01B","11.62M","11.25M","4.00","4.40%","Nov 19, 1997","3.30","9.74","9.74","51.42","4.35","27.03","8.90","1.58","655.29M","225.50M","124.66M","19.02%","31.52%","Dec 31","Jun 30, 2011","39.12%","93.90%","1.30","299.74","50.56M","2.48M","27.00%","2.20M","10.20","240,624","82.65","97.26","17.68","17.39","17600234.85","0.28"
"STRI","7.16","7.92","28.16","N/A","520,297","507,475","-67.94%","-72.98%","324.21M","40.94M","34.14M","N/A","N/A","N/A","8.68","1.11","1.11","9.62","2.33","0.86","7.14","0.78","390.73M","108.19M","47.08M","12.05%","21.01%","Dec 31","Jun 30, 2011","7.35%","14.50%","4.56","66.90","95.38M","7.60M","27.40%","8.01M","14.10","452,211","7.97","9.16","14.93","17.39","6434053.48","-2.46"
"STRL","9.79","12.13","17.00","0.71","74,623","36,950","0.83%","-4.21%","199.50M","16.45M","15.07M","N/A","N/A","N/A","15.41","1.01","1.01","29.59","4.43","0.78","12.02","0.41","484.61M","50.79M","16.67M","3.53%","7.16%","Dec 31","Jun 30, 2011","5.74%","9.53%","2.46","0.13","72.78M","688.80K","N/A","731.35K","12.80","39,085","11.63","12.71","9.29","17.39","584872.70","-8.11"
"STRM","1.13","1.58","2.19","0.89","11,312","6,750","30.58%","25.54%","15.88M","10.05M","5.10M","N/A","N/A","N/A","0.68","-0.21","-0.21","1.82","0.06","2.26","N/A","0.87","17.67M","895.70K","-1.99M","-11.24%","2.05%","Jan 31","Jul 31, 2011","1.41%","-27.13%","0.68","20.34","577.88K","36.30K","0.50%","45.12K","2.80","15,385","1.55","1.4501","-6.45","17.39","12184.55","-23.84"
"STRN","4.30","4.47","1,557.28","0.82","4,003","5,100","-35.22%","-40.26%","20.49M","4.58M","3.11M","N/A","N/A","N/A","4.04","0.48","0.48","4.66","2.01","1.11","9.31","0.96","21.33M","3.66M","2.35M","11.00%","15.87%","Dec 31","Jun 30, 2011","9.92%","13.60%","6.89","N/A","9.22M","1.26K","N/A","1.15K","0.60","100","4.45","5.15","15.73","17.39","890.00","-1.66"
"STRS","5.90","8.00","14.95","1.76","4,152","11,925","-6.43%","-11.47%","59.95M","7.49M","5.68M","N/A","N/A","May 29, 2001","16.83","-0.62","-0.62","12.16","0.90","0.41","N/A","0.57","90.92M","8.05M","-4.63M","-5.09%","3.38%","Dec 31","Jun 30, 2011","0.47%","0.30%","7.20","81.08","6.74M","5.05K","0.10%","5.17K","4.40","1,189","7.10","7.9699","12.25","17.39","9940.00","-5.14"
"STS","1.71","1.97","3.60","1.59","9,509","8,513","-10.86%","-15.90%","29.16M","14.80M","11.11M","N/A","N/A","Nov 19, 2008","3.51","-0.81","-0.81","19.33","0.08","0.56","N/A","0.10","278.42M","237.49K","-8.77M","-4.14%","-1.22%","Dec 25","Jul 2, 2011","-1.83%","-15.59%","1.37","55.35","1.15M","3.01K","N/A","4.75K","0.40","0","2.1899","2.41","10.05","17.39","6652.92","-7.34"
"STSA","11.61","15.02","59.00","2.74","121,618","105,286","-75.45%","-80.49%","930.58M","61.96M","14.25M","N/A","N/A","Nov 19, 2010","13.04","-13.30","-13.30","7.13","9.35","1.04","N/A","2.62","319.75M","N/A","-596.17M","-22.89%","1.03%","Dec 31","Jun 30, 2011","-0.77%","-14.63%","N/A","N/A","579.03M","1.26M","N/A","1.31M","12.60","244,108","14.47","15.88","9.74","17.39","1959628.69","-7.65"
"STT","29.86","38.86","50.26","1.46","6,142,910","7,707,860","-6.18%","-11.22%","19.16B","493.08M","489.10M","0.72","1.80%","May 31, 2001","38.84","3.19","3.19","18.83","108.99","1.00","12.18","2.05","9.32B","N/A","1.59B","17.40%","29.22%","Dec 31","Sep 30, 2011","0.85%","8.72%","N/A","N/A","53.74B","8.17M","1.60%","9.72M","1.50","6,226,233","38.76","39.65","2.30","17.39","263314354.56","-15.10"
"STV","3.48","3.84","9.49","0.82","140,342","111,162","-43.94%","-48.98%","226.36M","58.95M","25.35M","N/A","N/A","N/A","2.93","0.64","0.64","1.67","2.84","1.28","6.00","2.26","98.00M","51.28M","38.12M","38.90%","51.24%","Dec 31","Jun 30, 2011","11.10%","16.93%","2.59","30.92","167.63M","180.06K","N/A","237.34K","1.40","28,638","3.93","3.63","-7.63","17.39","429348.57","-25.03"
"STWD","15.89","18.51","23.67","0.54","960,082","706,212","-7.45%","-12.49%","1.73B","93.21M","91.38M","1.76","9.40%","N/A","19.31","1.61","1.61","1.90","1.07","0.95","11.52","14.12","120.70M","N/A","104.13M","86.27%","65.75%","Dec 31","Jun 30, 2011","N/A","N/A","6.27","42.84","100.14M","5.71M","N/A","5.62M","7.80","652,054","18.35","17.84","-2.78","17.39","16900882.15","-20.17"
"STX","9.05","16.24","18.35","2.20","10,321,200","19,412,900","6.70%","1.66%","6.84B","421.00M","392.59M","0.72","4.60%","N/A","5.76","1.10","1.10","25.28","6.89","2.71","14.83","0.59","11.08B","1.57B","502.00M","4.53%","7.44%","Jul 1","Sep 30, 2011","6.17%","18.77%","1.97","143.67","2.90B","13.76M","3.90%","14.06M","2.10","22,040,624","16.25","17.10","5.23","17.39","270632781.25","-12.16"
"STXS","0.88","1.01","4.24","1.73","602,700","185,638","-75.12%","-80.16%","55.37M","54.82M","44.79M","N/A","N/A","N/A","-0.13","-0.51","-0.51","0.95","0.42","N/A","N/A","1.07","50.24M","-23.50M","-26.88M","-53.50%","-50.39%","Dec 31","Jun 30, 2011","-31.60%","N/A","0.86","N/A","23.26M","6.81M","17.30%","6.96M","18.00","207,623","1.10","1.03","-6.36","17.39","124408.90","-23.76"
"STZ","16.42","20.05","23.19","1.06","2,439,450","1,958,210","4.38%","-0.66%","4.06B","202.44M","166.92M","N/A","N/A","May 16, 2005","13.33","3.08","3.08","14.34","0.05","1.48","6.52","1.33","3.01B","655.20M","656.30M","21.82%","18.17%","Feb 28","Aug 31, 2011","4.58%","25.59%","2.44","110.70","10.00M","3.51M","2.60%","3.96M","1.70","4,381,365","19.72","19.47","-1.27","17.39","45904354.04","-18.66"
"SU","22.55","31.14","48.53","1.58","8,530,150","7,502,500","-1.58%","-6.62%","49.01B","1.57B","1.57B","0.45","1.40%","May 27, 2008","23.29","2.45","2.45","23.73","1.96","1.32","12.69","1.30","37.20B","8.46B","2.95B","10.29%","13.74%","Dec 31","Jun 30, 2011","4.63%","8.29%","1.27","29.45","3.09B","6.94M","N/A","8.70M","0.90","7,149,506","30.42","30.02","-1.31","17.39","320217620.58","-18.71"
"SUB","none","105.93","none","none","none","none","none","none","3.29%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","435.86M","none","none","none","none","none","none","none","none","none","44,785","106.19","106.33","0.13","17.39","795044.53","-17.26"
"SUBK","7.51","8.13","26.76","0.74","51,048","42,643","-68.77%","-73.81%","78.96M","9.71M","9.47M","0.60","7.00%","Dec 29, 2006","13.81","0.05","0.05","5.07","8.46","0.59","150.56","1.61","49.02M","N/A","589.00K","1.20%","0.67%","Dec 31","Mar 31, 2011","0.04%","0.43%","N/A","N/A","82.12M","556.42K","5.90%","549.46K","11.30","37,050","8.31","8.74","5.17","17.39","567739.20","-12.22"
"SUG","23.60","42.17","44.65","0.81","1,513,210","1,144,420","69.70%","64.66%","5.26B","124.74M","109.70M","0.60","1.40%","Aug 18, 2004","20.89","1.70","1.70","20.36","0.02","2.00","24.86","2.06","2.54B","655.75M","231.04M","8.42%","17.06%","Dec 31","Jun 30, 2011","3.34%","8.94%","0.37","144.00","3.01M","2.06M","1.80%","2.42M","2.10","1,344,047","41.56","41.22","-0.82","17.39","36871824.20","-18.21"
"SUI","30.49","37.52","40.21","1.83","142,261","112,538","14.39%","9.35%","806.76M","21.50M","18.72M","2.52","6.60%","N/A","-4.46","-0.01","-0.01","13.32","0.19","N/A","N/A","2.97","270.15M","138.46M","-261.00K","-0.10%","25.38%","Dec 31","Jun 30, 2011","3.44%","N/A","0.45","N/A","4.01M","1.41M","7.40%","1.29M","9.50","131,499","36.94","35.74","-3.25","17.39","4870686.76","-20.64"
"SUMR","6.00","7.72","9.48","1.25","78,136","41,975","-0.13%","-5.17%","135.34M","17.53M","10.93M","N/A","N/A","N/A","5.26","0.28","0.28","13.32","0.16","1.44","28.07","0.60","220.35M","17.32M","4.72M","2.14%","5.14%","Dec 31","Jun 30, 2011","3.81%","5.71%","2.77","73.36","2.85M","910.17K","7.50%","802.25K","9.40","29,762","7.12","6.86","-3.65","17.39","274931.68","-21.05"
"SUN","27.76","36.65","46.98","0.41","3,607,190","1,859,750","-7.66%","-12.70%","4.44B","121.14M","120.79M","0.60","1.70%","Aug 2, 2005","23.34","-0.61","-0.61","329.78","12.18","1.53","N/A","0.11","39.82B","884.00M","-74.00M","-0.19%","1.01%","Dec 31","Jun 30, 2011","1.93%","4.01%","1.05","68.51","1.48B","10.07M","8.30%","10.67M","2.70","1,646,122","36.41","38.81","6.59","17.39","89553817.54","-10.80"
