Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
TBD.V,0.08,0.25,0.37,N/A,"67,298","18,075",92.31%,94.76%,19.79M,79.16M,54.06M,N/A,N/A,31-Aug-98,-0.01,N/A,N/A,0.01,0.01,N/A,N/A,27.56,804.19K,-1.05M,-3.23M,N/A,-182.17%,31-Jan,31-Jul-11,-9.38%,-1019.31%,0.43,N/A,899.38K,N/A,N/A,N/A,N/A,"36,132",0.25,0.245,-2,-31.33,3201.25,29.33,
TBE.TO,1.28,2.03,3.52,N/A,"604,139","504,088",3.57%,6.02%,274.88M,135.41M,128.59M,N/A,N/A,N/A,1.61,0.05,0.05,0.82,0.01,1.29,37.59,2.59,108.15M,67.47M,16.14M,14.93%,21.18%,31-Dec,30-Sep-11,4.23%,7.95%,0.33,34.72,1.93M,N/A,N/A,N/A,N/A,"182,144",2.23,2.13,-4.48,-31.33,7434884.77,26.85,
TBET,0.59,0.92,5.7,N/A,"8,419","12,814",N/A,none,13.66M,14.84M,11.42M,N/A,N/A,N/A,3.03,1,1,2.64,1.99,0.34,0.92,0.45,34.50M,13.98M,13.01M,37.73%,37.85%,31-Dec,30-Jun-11,22.40%,42.67%,8.75,N/A,29.52M,2.75K,N/A,2.35K,0.3,"2,840",0.91,0.98,7.69,-31.33,14380.31,39.02,
TBF,none,31.61,none,none,none,none,none,none,-24.90%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,ProShares,781.74M,none,none,none,none,none,none,none,none,none,"173,935",32.54,31.17,-4.21,-31.33,13928948.52,27.12,
TBI,10.4,11.18,19.48,1.87,"426,381","257,557",-32.73%,-30.28%,438.41M,39.21M,38.36M,N/A,N/A,13-Jul-99,7.41,0.63,0.63,29.76,2.53,1.56,17.77,0.36,1.28B,59.26M,27.19M,2.13%,3.34%,31-Dec,30-Sep-11,4.79%,9.11%,2.28,N/A,99.05M,1.50M,3.90%,1.80M,3.1,"108,232",12.73,13.88,9.03,-31.33,3050411.67,40.37,
TBIO.OB,0.4,1.25,1.85,1.74,"74,905","64,757",127.27%,129.72%,61.72M,49.38M,44.21M,N/A,N/A,N/A,-0.03,-0.24,-0.24,0.58,0.03,N/A,N/A,2.25,28.49M,-1.78M,-11.61M,-37.95%,-11.43%,31-Dec,30-Sep-11,-9.27%,-277.16%,1.35,N/A,1.42M,0,N/A,0,0,"18,950",1.3,1.29,-0.77,-31.33,69875.35,30.56,
TBL.TO,0.58,0.6,1.15,N/A,"11,944","3,450",-47.37%,-44.92%,19.45M,32.41M,12.71M,N/A,N/A,N/A,-1.94,0.13,0.13,29.06,N/A,N/A,4.48,0.02,942.09M,32.04M,4.36M,0.46%,3.08%,31-Mar,30-Sep-11,7.49%,N/A,1.26,N/A,N/A,N/A,N/A,N/A,N/A,"4,500",0.63,0.6,-4.76,-31.33,4708.5,26.57,
TBLEY.PK,13.74,14.84,18.4,N/A,"4,845","2,129",-6.90%,-4.45%,9.69B,652.74M,203.99M,N/A,N/A,N/A,4.29,1.12,1.12,3.53,0.92,3.6,13.3,4.36,2.31B,1.51B,730.84M,31.61%,54.03%,31-Dec,30-Sep-11,11.98%,28.89%,0.94,71.62,602.32M,N/A,N/A,N/A,N/A,"5,582",15.8,16.19,2.47,-31.33,31600,33.8,
TBNC.OB,N/A,1.82,N/A,0.8,N/A,N/A,N/A,none,3.53M,1.94M,1.62M,N/A,N/A,N/A,5.04,-0.65,-0.65,7.05,2.37,0.4,N/A,0.28,13.68M,N/A,-1.25M,-9.16%,-9.16%,31-Dec,30-Jun-11,-1.14%,-12.13%,N/A,N/A,4.60M,N/A,N/A,N/A,N/A,600,1.82,1.5,-17.58,-31.33,3075,13.75,
TBNK,18.15,18.87,21.29,0.17,"46,822","21,257",2.33%,4.78%,193.98M,10.28M,9.74M,0.36,1.80%,N/A,20.84,1.12,1.12,4.92,12.9,0.92,16.85,3.61,54.38M,N/A,12.57M,23.12%,37.58%,31-Dec,30-Sep-11,0.85%,5.71%,N/A,N/A,132.65M,418.91K,3.90%,460.09K,8.7,"11,061",19.15,19.75,3.13,-31.33,487503.52,34.47,
TBOW,1.81,2.07,5.25,N/A,"15,372","12,443",N/A,none,76.19M,36.81M,24.09M,N/A,N/A,N/A,2.08,0.57,0.57,0.94,0.26,0.93,3.61,2.15,33.17M,17.11M,20.34M,61.32%,50.81%,31-Dec,30-Sep-11,17.12%,36.23%,10.6,N/A,9.52M,142.28K,0.90%,98.53K,7.7,"41,350",1.9,1.91,0.53,-31.33,27646.03,31.86,
TBSI,0.37,0.4,4.39,1.7,"37,544","51,357",-89.66%,-87.21%,12.34M,30.86M,11.47M,N/A,N/A,N/A,8.2,-8.86,-8.86,12.58,0.39,0.05,N/A,0.03,383.42M,48.65M,-269.96M,-70.34%,-9.86%,31-Dec,30-Sep-11,-3.02%,-71.78%,0.2,137.22,12.01M,191.75K,N/A,187.48K,6.7,"19,661",0.298,0.151,-49.33,-31.33,36387.42,-18,
TBT,none,18.66,none,none,none,none,none,none,-44.30%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,ProShares,3.63B,none,none,none,none,none,none,none,none,none,"4,201,862",19.76,18.07,-8.55,-31.33,158036959.9,22.78,
TBTC.PK,0.25,1.04,2,N/A,419,71,-25.71%,-23.26%,4.81M,4.62M,3.05M,N/A,N/A,N/A,0.52,-0.03,-0.03,0.67,0.18,0.48,N/A,0.39,2.99M,-334.99K,-157.93K,-5.28%,-12.24%,31-Dec,30-Jun-11,-6.63%,-6.67%,3.46,N/A,812.68K,N/A,N/A,N/A,N/A,500,1.05,1.05,0,-31.33,52.5,31.33,
TBUS,0.3,0.35,1.26,0.5,"10,081","21,871",-68.75%,-66.30%,4.17M,11.91M,9.94M,N/A,N/A,N/A,0.5,-1.05,-1.05,6.67,0.1,0.75,N/A,0.06,79.00M,1.76M,-12.49M,-14.94%,0.24%,31-Dec,30-Jun-11,0.23%,-74.17%,1.12,136.64,1.16M,4.86K,N/A,8.78K,0.6,"3,300",0.3,,0,-31.33,0,31.33,
TC,5.44,5.93,16.06,2.89,"2,406,120","1,598,190",-52.18%,-49.73%,995.59M,167.89M,166.22M,N/A,N/A,N/A,10.12,1.43,1.43,4.3,2.18,0.6,4.15,1.44,709.20M,293.30M,246.30M,34.73%,31.50%,31-Dec,30-Sep-11,6.47%,17.26%,3.17,21.67,365.40M,13.59M,8.20%,13.94M,5.1,"797,734",7.39,6.96,-5.82,-31.33,12318883.54,25.51,
TCAP,13.62,16.78,20.97,0.46,"190,680","194,986",-9.49%,-7.04%,381.14M,22.71M,21.85M,1.76,10.10%,N/A,14.59,2.93,2.93,3.15,3.76,1.15,5.73,6.89,55.48M,44.55M,51.56M,92.93%,80.25%,31-Dec,30-Sep-11,6.33%,20.22%,25.35,67.64,85.45M,781.36K,4.40%,875.68K,5.2,"122,748",18.27,19.12,4.65,-31.33,2928895.89,35.98,
TCB,8.61,9.64,17.37,0.98,"1,724,670","1,107,960",-28.75%,-26.30%,1.52B,157.66M,144.31M,0.2,2.00%,7-Sep-04,11.8,0.8,0.8,6.46,7.42,0.81,12.05,1.56,968.94M,N/A,121.56M,12.59%,28.63%,31-Dec,30-Sep-11,0.68%,7.51%,N/A,N/A,1.17B,9.24M,7.10%,8.00M,4.3,"304,407",9.89,10.32,4.35,-31.33,14473026,35.68,
TCBI,18.47,25.76,29.48,1.39,"325,258","233,400",35.87%,38.32%,965.05M,37.46M,35.69M,N/A,N/A,N/A,15.7,1.63,1.63,7.5,3.22,1.66,15.82,3.5,278.66M,N/A,62.43M,22.35%,41.35%,31-Dec,30-Sep-11,0.89%,11.32%,N/A,N/A,120.57M,4.55M,N/A,5.34M,10.1,"73,161",27.87,30.61,9.83,-31.33,9522148.17,41.16,
TCBK,11.5,12.59,16.88,1.46,"34,642","22,914",-14.76%,-12.31%,201.16M,15.98M,11.62M,0.36,2.60%,3-May-04,13.19,0.94,0.94,6.16,3.97,0.98,13.39,2.1,97.94M,N/A,15.17M,15.49%,18.20%,31-Dec,30-Sep-11,0.64%,7.37%,N/A,N/A,63.41M,1.01M,7.90%,1.09M,25.6,"15,585",14.48,14.22,-1.8,-31.33,499961.84,29.54,
TCC.V,0.19,0.25,0.95,N/A,"39,709","52,288",-50.98%,-48.53%,6.35M,25.39M,22.23M,N/A,N/A,N/A,0.27,N/A,N/A,N/A,0.05,0.88,N/A,N/A,N/A,N/A,-1.24M,N/A,N/A,31-Oct,30-Jun-11,-12.62%,-19.89%,15.25,N/A,1.28M,N/A,N/A,N/A,N/A,"20,800",0.22,0.205,-6.82,-31.33,9259.88,24.51,
TCF.V,0.12,0.17,0.6,N/A,"210,103","186,412",21.43%,23.88%,10.44M,63.26M,71.16M,N/A,N/A,N/A,0.12,N/A,N/A,N/A,0.01,1.48,N/A,N/A,N/A,-2.34M,-2.59M,N/A,N/A,31-Dec,30-Jun-11,-18.71%,-35.57%,3.98,0.99,1.04M,N/A,N/A,N/A,N/A,"111,200",0.16,0.21,31.25,-31.33,58938.5,62.58,
TCHC,2.25,2.8,3.48,0.64,"6,263","8,000",-14.63%,-12.18%,22.25M,7.95M,6.16M,N/A,N/A,8-Sep-04,7.01,-0.74,-0.74,7.12,1.9,0.4,N/A,0.39,56.55M,-10.06M,-5.84M,-10.32%,-18.12%,31-Dec,30-Sep-11,-3.54%,-9.93%,0.52,13.58,15.11M,6.01K,0.10%,5.87K,1.1,"4,600",2.71,2.96,9.23,-31.33,15332.91,40.56,
TCK,25.76,31.31,65.37,3.8,"4,486,070","3,308,900",-35.38%,-32.93%,18.50B,590.84M,481.11M,0.77,2.30%,11-May-07,28.35,3.85,3.85,18.39,6.88,1.11,8.14,1.72,10.86B,5.03B,2.29B,21.07%,38.05%,31-Dec,30-Sep-11,8.58%,14.92%,3.94,40.93,4.07B,4.74M,N/A,4.75M,0.9,"1,420,584",37.21,35.19,-5.43,-31.33,98591069.89,25.9,
TCL,6.74,6.97,12.25,1.08,"58,692","58,329",-39.55%,-37.10%,992.62M,142.41M,33.97M,0.07,1.00%,N/A,4.84,-0.97,-0.97,17.14,N/A,1.39,N/A,0.39,2.44B,301.50M,-137.98M,-5.65%,0.02%,31-Mar,30-Sep-11,N/A,N/A,N/A,N/A,N/A,209.44K,N/A,144.74K,2.7,"24,509",7.5,7.97,6.27,-31.33,417449.1,37.6,
TCLN.PK,0,0.02,0.16,N/A,"126,938","11,300",N/A,none,45.61M,2.28B,N/A,N/A,N/A,N/A,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31-Jul-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100,000",0.02,0.0262,31,-31.33,34664,62.33,
TCLP,39.24,46.5,54.95,0.36,"97,586","89,100",0.63%,3.08%,2.49B,53.47M,36.38M,3.08,6.60%,N/A,24.42,3.11,3.11,4.48,0.14,1.89,14.94,11.18,220.50M,200.40M,153.10M,70.84%,83.13%,31-Dec,30-Sep-11,6.09%,12.80%,0.05,56.26,7.30M,261.72K,0.90%,224.04K,2.4,"180,612",48.12,,0,-31.33,0,31.33,
TCLRY.PK,1.39,1.52,7.92,N/A,"3,334","3,543",-73.47%,-71.02%,314.35M,206.81M,205.48M,N/A,N/A,N/A,2.36,-1.98,-1.98,26.59,2.03,0.59,N/A,0.06,4.85B,699.33M,-216.21M,-7.62%,6.55%,31-Dec,30-Jun-11,3.79%,-40.57%,1.14,347.14,419.06M,N/A,N/A,N/A,N/A,"1,619",1.66,1.55,-6.63,-31.33,23740.31,24.71,
TCM.TO,5.79,6.28,15.43,N/A,"740,414","536,625",-50.12%,-47.67%,1.05B,167.89M,166.22M,N/A,N/A,N/A,10.12,1.43,1.43,4.3,2.18,0.61,4.39,1.47,709.20M,293.30M,246.30M,34.73%,31.50%,31-Dec,30-Sep-11,6.47%,17.26%,3.17,21.67,365.40M,N/A,N/A,N/A,N/A,"562,069",7.48,7.12,-4.81,-31.33,3702030.6,26.52,
TCN.TO,3.38,4.52,5.5,N/A,"15,075","1,925",1.35%,3.80%,82.44M,18.24M,11.48M,N/A,N/A,N/A,2.56,N/A,N/A,0.63,1.9,1.71,N/A,7,11.42M,10.17M,795.00K,Financial,Asset Management,31-Dec,30-Sep-11,11.45%,-0.28%,14.63,N/A,34.63M,N/A,N/A,N/A,N/A,800,4.41,4.19,-4.99,-31.33,0,26.34,
TCO,45.48,58.37,63.13,1.81,"781,550","630,000",19.49%,21.94%,3.38B,57.92M,56.79M,1.75,2.90%,N/A,-5.98,1.06,1.06,12.78,0.37,N/A,54.96,4.68,717.00M,415.51M,60.66M,10.50%,37.74%,31-Dec,30-Sep-11,6.70%,N/A,0.18,N/A,21.58M,2.86M,9.30%,2.91M,3.3,"204,808",61.24,62.1,1.4,-31.33,28718501.43,32.74,
TCRD,10.41,11.33,14.86,N/A,"46,709","27,786",-13.51%,-11.06%,229.09M,20.22M,10.36M,1.04,8.80%,N/A,13.17,1.02,1.02,1.57,0.18,0.86,11.08,7.32,31.44M,N/A,20.55M,65.36%,59.98%,31-Dec,30-Sep-11,N/A,N/A,1.44,N/A,3.60M,302.31K,3.30%,330.75K,6.3,"13,526",11.75,12.21,3.91,-31.33,415760.33,35.25,
TCS.TO,1.6,2.15,2.55,N/A,"1,820","4,525",16.22%,18.67%,25.06M,11.65M,5.91M,N/A,N/A,N/A,1.35,0.16,0.16,3.04,0.55,1.57,13.35,0.68,36.24M,2.77M,1.95M,5.37%,5.22%,30-Apr,31-Jul-11,4.03%,12.04%,1.61,0.68,6.39M,N/A,N/A,N/A,N/A,"2,400",2.15,2.23,3.72,-31.33,21271,35.05,
TCTZF.PK,18.46,19.49,29.35,N/A,"5,419","3,014",-11.41%,-8.96%,35.57B,1.83B,933.69M,N/A,N/A,N/A,2.28,0.83,0.83,2.25,1.72,8.59,23.43,8.72,4.10B,1.97B,1.55B,37.81%,42.22%,31-Dec,30-Sep-11,17.72%,44.54%,1.52,27.7,3.14B,N/A,N/A,N/A,N/A,"3,200",19.69,19.96,1.37,-31.33,4151.68,32.7,
TCW.TO,13.44,17.55,26.73,N/A,"923,927","936,525",-11.90%,-9.45%,2.58B,146.73M,144.02M,N/A,N/A,23-May-06,8.62,1.91,1.91,14.13,0.95,2.04,9.17,1.26,2.05B,526.87M,280.64M,13.69%,19.89%,31-Dec,30-Sep-11,14.65%,25.20%,3.27,34.09,138.96M,N/A,N/A,N/A,N/A,"556,243",18.12,17.55,-3.15,-31.33,10404990.51,28.19,
TCX,0.65,0.76,0.93,0.4,"42,388","23,000",8.57%,11.02%,40.38M,53.48M,36.70M,N/A,N/A,N/A,0.45,0.04,0.04,1.73,0.09,1.66,21.57,0.44,92.77M,6.25M,1.38M,1.49%,4.25%,31-Dec,30-Sep-11,2.32%,5.55%,0.88,6.42,4.65M,9.91K,N/A,13.02K,0.1,"5,550",0.745,0.751,0.81,-31.33,77993.3,32.14,
TCZ.TO,none,8.53,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,375,8.24,8.32,0.97,-31.33,0,32.3,
TD,64.56,65.29,89.79,1.4,"814,189","579,943",-11.34%,-8.89%,58.03B,888.80M,886.52M,2.59,3.90%,4-Aug-99,42.84,5.53,5.53,21.04,219.19,1.54,11.8,3.17,18.53B,N/A,4.90B,27.39%,37.19%,31-Oct,31-Jul-11,0.86%,12.38%,N/A,N/A,194.82B,3.12M,N/A,2.85M,4.3,"360,263",70.88,74.81,5.54,-31.33,58284327.28,36.88,
TD.TO,68.13,68.18,86.82,N/A,"2,399,770","1,655,010",-8.89%,-6.44%,60.60B,888.80M,N/A,N/A,N/A,6-Jul-99,44.87,5.8,5.8,N/A,N/A,1.53,11.76,3.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,300,337",71.9,76.29,6.11,-31.33,199344922.6,37.44,
TDBK.PK,0.02,0.11,1.4,1.13,"5,572","15,629",-91.13%,-88.68%,462.40K,4.09M,2.49M,N/A,N/A,N/A,0.32,-3.77,-3.77,0.48,5.4,0.35,N/A,0.23,1.97M,N/A,-15.40M,N/A,-594.19%,31-Dec,30-Sep-11,-2.62%,-63.79%,N/A,N/A,22.10M,N/A,N/A,N/A,N/A,"1,000",0.113,0.08,-29.2,-31.33,697.28,2.13,
TDC,40.45,49.48,62.71,0.55,"1,974,200","1,508,830",20.27%,22.72%,8.28B,167.40M,166.61M,N/A,N/A,N/A,8.37,1.98,1.98,13.3,4.13,5.97,24.99,3.74,2.24B,503.00M,340.00M,15.20%,19.98%,31-Dec,30-Sep-11,13.18%,27.36%,1.88,20.91,691.00M,6.40M,3.80%,7.19M,3.1,"379,996",53.99,48.51,-10.15,-31.33,67988312.17,21.18,
TDC.V,0.09,0.1,0.2,N/A,"304,894","125,762",-28.57%,-26.12%,27.90M,293.72M,267.72M,N/A,N/A,16-Aug-99,0.18,N/A,N/A,N/A,0,0.56,N/A,N/A,N/A,-1.84M,-5.60M,N/A,N/A,30-Nov,31-Aug-11,-6.13%,-10.83%,2.89,N/A,1.25M,N/A,N/A,N/A,N/A,"66,475",0.095,0.095,0,-31.33,44676.55,31.33,
TDCAF.PK,7.6,7.77,9.05,N/A,"2,006","1,957",N/A,none,7.63B,981.80M,352.47M,N/A,N/A,N/A,3.72,0.75,0.75,5.53,0.17,2.11,10.39,1.64,4.71B,1.95B,490.87M,13.52%,21.90%,31-Dec,30-Sep-11,4.82%,11.15%,0.4,112.69,163.32M,N/A,N/A,N/A,N/A,"1,000",8.15,8.1,-0.61,-31.33,0,30.72,
TDCP.OB,N/A,0.01,N/A,1.29,N/A,N/A,N/A,none,10.63M,1.15B,881.04M,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,"1,100.38",8.40K,-1.53M,-1.61M,N/A,-18303.68%,31-Dec,30-Jun-11,-263.70%,N/A,1.08,N/A,572.19K,N/A,N/A,N/A,N/A,"110,000",0.0086,0.0111,29.07,-31.33,7125.43,60.4,
TDE,18.66,25.49,25.83,N/A,"16,348","14,814",N/A,none,2.64B,103.49M,79.88M,N/A,N/A,N/A,38.45,2.09,2.09,49.43,8.21,0.66,12.17,0.51,5.13B,1.12B,218.85M,4.27%,6.92%,31-Dec,30-Sep-11,2.80%,5.95%,2,33.08,849.36M,N/A,N/A,N/A,N/A,"2,785",25.4899,26.64,4.51,-31.33,339575.96,35.84,
TDF,22.08,24.13,32.75,0.97,"60,613","28,714",-19.27%,-16.82%,913.96M,37.87M,N/A,0.33,1.30%,N/A,33.72,7.44,7.44,0.87,0.03,0.72,3.25,28.01,32.95M,N/A,281.63M,854.68%,46.49%,31-Dec,30-Jun-11,0.82%,24.08%,4.16,N/A,1.25M,25.40K,N/A,39.39K,0.4,"9,097",25.95,25.45,-1.93,-31.33,2151458.93,29.41,
TDG,67.13,91.17,102.73,0.44,"415,022","470,886",32.36%,34.81%,4.59B,50.34M,40.01M,N/A,N/A,N/A,16.11,3.18,3.18,22.61,7.47,5.64,28.71,3.79,1.21B,573.79M,149.41M,14.27%,42.56%,30-Sep,30-Sep-11,8.92%,21.69%,4.21,387.69,376.18M,1.37M,3.00%,1.47M,3.3,"163,457",97.68,95.68,-2.05,-31.33,23431774.16,29.28,
TDG.TO,5.07,7.25,11.21,N/A,"485,098","251,050",36.79%,39.24%,876.23M,120.86M,N/A,N/A,N/A,N/A,6.86,N/A,N/A,N/A,N/A,1.08,N/A,1.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"167,799",7.93,7.77,-2.02,-31.33,740169.94,29.31,
TDH,none,21.89,none,none,none,none,none,none,2.34%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,DBX Strategic Advisors LLC,36.77M,none,none,none,none,none,none,none,none,none,"3,001",22.9799,22.01,-4.22,-31.33,32687.67,27.11,
TDI,20.25,25.32,25.99,N/A,"5,566","3,143",2.63%,5.08%,2.62B,103.49M,79.88M,N/A,N/A,N/A,38.45,2.09,2.09,49.43,8.21,0.65,12.09,0.51,5.13B,1.12B,218.85M,4.27%,6.92%,31-Dec,30-Sep-11,2.80%,5.95%,2,33.08,849.36M,N/A,N/A,N/A,N/A,300,25.34,25.15,-0.75,-31.33,42926,30.58,
TDLPQ.PK,0.03,0.28,0.9,0.04,"17,733","110,529",-64.56%,-62.11%,4.46M,15.93M,9.93M,N/A,N/A,N/A,-0.05,-0.18,-0.18,N/A,0.03,N/A,N/A,N/A,N/A,-2.45M,-2.88M,N/A,N/A,31-Dec,30-Sep-10,-113.50%,-1427.48%,1.59,N/A,467.28K,N/A,N/A,N/A,N/A,"175,747",0.22,0.12,-45.45,-31.33,672,-14.12,
TDN,none,19.27,none,none,none,none,none,none,6.04%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,DBX Strategic Advisors LLC,33.97M,none,none,none,none,none,none,none,none,none,"1,050",20.2001,19.78,-2.08,-31.33,52266.17,29.25,
TDS,19.33,23.33,37.91,0.66,"644,803","405,686",-35.12%,-32.67%,2.41B,103.49M,79.88M,0.47,1.90%,N/A,38.45,2.09,2.09,49.43,8.21,0.61,11.14,0.47,5.13B,1.12B,218.85M,4.27%,6.92%,31-Dec,30-Sep-11,2.80%,5.95%,2,33.08,849.36M,7.33M,16.90%,6.73M,11.2,"213,663",26.21,25.89,-1.22,-31.33,12682100.66,30.11,
TDV,none,18.02,none,none,none,none,none,none,4.55%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,DBX Strategic Advisors LLC,28.39M,none,none,none,none,none,none,none,none,none,"2,978",19.7,19.5,-1.02,-31.33,36664.95,30.32,
TDW,38.8,46.59,63.55,1.31,"774,778","625,200",-5.97%,-3.52%,2.39B,51.30M,50.74M,1,2.10%,N/A,48.98,1.28,1.28,20.11,5.89,0.94,36.37,2.3,1.03B,246.17M,66.06M,6.41%,10.55%,31-Mar,30-Sep-11,1.86%,2.65%,3.11,32.84,302.19M,4.68M,9.10%,4.67M,6.6,"432,225",49.91,49.3,-1.22,-31.33,21478189.56,30.11,
TDW.V,0.04,0.05,0.24,N/A,"64,781","18,125",-66.67%,-64.22%,1.45M,32.24M,34.60M,N/A,N/A,N/A,0.06,N/A,N/A,N/A,0.01,0.78,N/A,N/A,N/A,N/A,-583.22K,N/A,N/A,31-Dec,30-Jun-11,-23.37%,-33.82%,4.87,N/A,249.57K,N/A,N/A,N/A,N/A,"30,000",0.045,0.04,-11.11,-31.33,3100,20.22,
TDY,39.8,50.71,60.91,1.45,"192,581","166,429",24.96%,27.41%,1.87B,36.96M,36.34M,N/A,N/A,N/A,27.81,6.84,6.84,51.75,1.02,1.81,7.41,0.98,1.89B,295.40M,142.30M,13.50%,12.49%,2-Jan,2-Oct-11,8.75%,15.89%,1.5,28,37.90M,1.32M,3.70%,1.43M,7,"105,535",54.88,54.85,-0.05,-31.33,9034149.72,31.28,
TE,15.82,17.51,19.66,0.68,"2,258,390","1,276,960",4.35%,6.80%,3.78B,215.77M,200.69M,0.86,4.80%,31-Aug-93,10.48,1.28,1.28,15.79,0.77,1.66,13.68,1.12,3.37B,942.30M,274.50M,8.20%,18.40%,31-Dec,30-Sep-11,5.26%,12.53%,0.83,135.97,165.80M,6.89M,3.20%,7.79M,2.9,"368,966",18.69,19.14,2.41,-31.33,19879917.93,33.74,
TEA,18,19.01,29.35,N/A,"229,639","121,771",N/A,none,724.15M,38.09M,7.20M,N/A,N/A,N/A,-6.07,0.37,0.37,3.87,0.04,N/A,51.52,5.22,142.20M,31.68M,13.85M,9.74%,18.74%,30-Jan,31-Jul-11,N/A,N/A,1.34,N/A,1.62M,4.18M,N/A,3.43M,14.9,"53,306",18.28,18.78,2.74,-31.33,4970695.01,34.07,
TEAR,0.78,1.26,2.9,1.53,"10,284","6,043",-49.80%,-47.35%,25.72M,20.41M,12.36M,N/A,N/A,9-Oct-08,0.43,-0.38,-0.38,0.15,0.22,3,N/A,10.95,2.42M,-5.55M,-6.24M,-257.66%,-283.78%,31-Dec,30-Sep-11,-34.58%,-72.14%,1.62,N/A,4.57M,19.65K,N/A,21.88K,2,900,1.24,1.12,-9.68,-31.33,101924,21.65,
TECD,38.21,45.71,54.25,1.37,"599,697","643,500",2.44%,4.89%,1.98B,43.40M,41.70M,N/A,N/A,18-Apr-94,49.06,4.81,4.81,561.9,20.85,0.94,9.5,0.08,26.06B,407.48M,226.56M,0.87%,1.36%,31-Jan,31-Jul-11,3.78%,11.39%,1.49,22.59,905.14M,1.97M,5.20%,1.72M,3.1,"107,464",49.65,49.41,-0.48,-31.33,18624431.24,30.85,
TECH,59.39,62.37,86.43,0.84,"98,123","108,986",3.33%,5.78%,2.31B,37.00M,34.98M,1.12,1.80%,4-Dec-00,15.93,3.05,3.05,8.07,3.6,3.94,20.45,7.76,299.61M,178.15M,113.45M,37.87%,56.48%,30-Jun,30-Sep-11,18.11%,20.39%,8.35,N/A,133.35M,616.78K,2.00%,651.01K,6.4,"65,616",67.12,68.26,1.7,-31.33,5259885.3,33.03,
TECO.PK,N/A,0.06,N/A,N/A,N/A,N/A,N/A,none,39.97M,726.64M,322.89M,N/A,N/A,N/A,0,-0.01,-0.01,0,0,58,N/A,374.28,112.60K,-3.96M,-4.76M,N/A,-3349.47%,31-Dec,30-Jun-11,-169.58%,N/A,0.08,254.1,46.53K,N/A,N/A,N/A,N/A,"294,795",0.055,0.041,-25.45,-31.33,24914.13,5.88,
TECUA,4.01,4.15,14.06,1.9,"82,858","52,914",-69.01%,-66.56%,76.69M,18.48M,16.24M,N/A,N/A,N/A,23.24,-1.47,-1.47,50.73,2.97,0.19,N/A,0.09,937.50M,11.80M,-26.00M,-2.89%,-2.94%,31-Dec,30-Jun-11,-2.28%,-6.30%,1.67,15.98,54.90M,789.48K,5.90%,789.72K,11.7,"16,516",5.17,4.7,-9.09,-31.33,371687.28,22.24,
TEF,16.89,17,27.31,0.99,"5,170,730","3,913,910",-22.68%,-20.23%,76.64B,4.51B,4.49B,1.69,9.30%,21-Jan-11,5.31,1.21,1.21,19.13,1.66,3.26,14.1,0.9,86.43B,29.46B,5.43B,6.28%,19.31%,31-Dec,30-Sep-11,6.13%,15.11%,0.62,264.08,7.49B,6.47M,N/A,6.47M,1.5,"3,310,768",18.66,17.19,-7.88,-31.33,54434884.94,23.45,
TEG,42.76,49.09,54.02,1.1,"609,186","579,714",0.90%,3.35%,3.82B,77.91M,77.34M,2.72,5.50%,N/A,38.08,3.3,3.3,61.98,0.35,1.28,14.88,0.78,4.86B,732.40M,261.10M,5.35%,9.88%,31-Dec,30-Sep-11,3.19%,8.81%,1.32,76.92,27.30M,3.31M,4.30%,3.62M,5.6,"365,499",51.37,54.18,5.47,-31.33,18519325.5,36.8,
