Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
GAX.V,0.03,0.03,0.22,N/A,"132,308","59,625",-72.73%,-70.28%,1.54M,51.22M,48.63M,N/A,N/A,N/A,-0.01,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,-1.45M,N/A,N/A,31-Dec,30-Jun-11,-28.95%,-59.71%,2.01,N/A,1.03M,N/A,N/A,N/A,N/A,"174,226",0.05,0.04,-20,-31.33,4000,11.33,
GAXC.OB,0.3,0.53,0.7,0.56,"22,966","21,457",6.00%,8.45%,11.92M,22.70M,19.54M,N/A,N/A,N/A,0.61,-0.13,-0.13,1.36,0.07,0.8,N/A,0.37,30.38M,3.46M,-2.95M,-9.71%,0.30%,31-Dec,30-Sep-11,0.18%,-19.09%,0.47,92.32,1.53M,N/A,N/A,N/A,N/A,"11,400",0.53,0.6,13.21,-31.33,9064.7,44.54,
GAZ,none,4.83,none,none,none,none,none,none,-17.64%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iPath,98.52M,none,none,none,none,none,none,none,none,none,"54,350",4.82,3.77,-21.78,-31.33,1568563.23,9.55,
GB,18.55,19.32,29.06,0.61,"184,611","93,971",-13.90%,-11.45%,452.59M,23.43M,23.03M,N/A,N/A,N/A,19.84,1.74,1.74,24.14,1.78,0.99,11.09,0.82,560.19M,113.89M,41.32M,7.38%,11.92%,31-Dec,30-Sep-11,5.11%,9.46%,3.43,42.75,41.63M,1.82M,8.00%,1.87M,9,"37,358",22.74,22.1,-2.81,-31.33,4192918.98,28.52,
GBAB,none,20.89,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"65,287",20.98,21.35,1.76,-31.33,1642646.97,33.1,
GBAMF.PK,0.65,0.66,1.52,N/A,"4,780","4,143",-52.52%,-50.07%,120.08M,183.33M,100.01M,N/A,N/A,N/A,1.4,-0.03,-0.03,N/A,0.04,0.53,N/A,N/A,N/A,-4.23M,-6.69M,N/A,N/A,31-Dec,30-Jun-11,-1.01%,-2.54%,60.63,N/A,7.57M,N/A,N/A,N/A,N/A,"4,000",0.6295,0.5025,-20.17,-31.33,18215.62,11.16,
GBB.V,0.16,0.17,0.93,N/A,"257,503","439,612",-74.63%,-72.18%,27.55M,166.99M,159.74M,N/A,N/A,N/A,0.14,N/A,N/A,N/A,0.03,1.22,N/A,N/A,N/A,-5.16M,-5.98M,N/A,N/A,30-Jun,30-Jun-11,-19.52%,-38.37%,4.9,N/A,4.14M,N/A,N/A,N/A,N/A,"167,700",0.16,0.17,6.25,-31.33,37751,37.58,
GBCI,8.95,10.7,16,1.14,"685,712","415,686",-20.74%,-18.29%,769.49M,71.92M,69.74M,0.52,4.60%,15-Dec-06,11.84,0.17,0.17,3.24,1.86,0.91,62.57,3.33,232.68M,N/A,12.72M,5.47%,33.64%,31-Dec,30-Sep-11,0.19%,1.49%,N/A,N/A,133.77M,5.30M,7.60%,5.33M,6.6,"132,972",11.77,12.03,2.21,-31.33,4030145.68,33.54,
GBDC,none,14.84,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"15,778",15.78,15.5,-1.77,-31.33,417414.28,29.56,
GBE,0.27,0.3,1.46,2.07,"200,919","415,029",-74.36%,-71.91%,19.78M,65.93M,18.46M,N/A,N/A,N/A,-1.58,-0.76,-0.76,8.86,0.07,N/A,N/A,0.03,581.97M,-19.96M,-73.91M,-6.59%,-7.26%,31-Dec,30-Sep-11,-11.06%,-307.83%,0.62,N/A,4.60M,1.60M,9.20%,1.30M,13.6,"138,864",0.2,0.121,-39.5,-31.33,145976.62,-8.17,
