Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return
adbe,22.2,26.4,87.313,1.25,4.26M,5.65M,-65.80%,-54.20%,6.26B,237.2M,206.4M,0.05,0.19%,none,2.82,0.99,0.16,5.22,2.43,9.35,26.72,5.05,1.32B,464.0M,250.6M,19.00%,34.10%,1-Dec,none,24.50%,35.57%,2.65,0,575.9M,7.79M,3.80%,7.79M,2.22,3.51M,27.14,32.08,18.20%,5.11%
adbi,0.31,0.34,3.876,2.46,24.9K,26.0K,-90.90%,-87.80%,9.29M,27.3M,26.0M,none,none,none,0.3,-0.49,-0.04,0.08,0.27,1.12,none,4.24,2.80M,-11.1M,-14.5M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.29,0.41,41.38%,5.11%
adbl,0.21,0.5,2.25,0.86,51.7K,43.0K,-48.40%,-30.80%,13.8M,27.5M,12.7M,none,none,none,0.1,-1.15,-0.31,0.26,0.56,4.82,none,1.9,7.09M,-30.3M,-31.1M,none,none,31-Dec,none,-126.00%,-225.11%,2.65,0,15.2M,"1,000",0.00%,"1,000",0.02,48.0K,0.45,0.54,20.00%,5.11%
adc,13.625,19,20.6,-0.07,"6,682","4,000",35.70%,82.00%,83.9M,4.42M,3.90M,1.84,9.68%,none,11.63,1.76,0.48,5.51,0.04,1.63,10.78,3.45,24.5M,18.9M,7.84M,35.50%,61.90%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,19.1,19,-0.52%,5.11%
adco.ob,0.07,0.07,1.437,none,"3,273","4,000",-86.80%,-82.30%,310.0K,4.42M,400.0K,none,none,none,-1.02,-0.38,-0.07,1.42,0,none,none,0.05,5.87M,-935.0K,-1.57M,-26.70%,-16.10%,31-Mar,none,-82.56%,none,0.21,none,"1,000",none,none,none,none,none,0.07,0.06,-14.29%,5.11%
adct,2.63,4.55,27.063,1.88,7.45M,7.11M,-79.50%,-72.50%,3.59B,789.5M,663.2M,none,none,none,2.58,-1.31,-0.07,3.79,0.35,1.77,none,1.2,3.04B,-552.2M,-1.02B,-33.60%,-22.00%,31-Oct,none,-29.48%,-40.88%,2.11,0,273.1M,10.7M,1.60%,8.60M,1.29,8.32M,4.37,4.44,1.60%,5.11%
addm.ob,0.781,1.01,2.219,0.85,"1,818","1,000",-46.10%,-27.80%,10.1M,10.0M,1.50M,none,none,none,-0.32,0.19,0.07,2.15,0.04,none,5.4,0.47,22.5M,5.49M,1.87M,13.80%,23.20%,30-Sep,none,13.70%,none,2.59,0.34,408.0K,none,none,none,none,none,1.01,1.05,3.96%,5.11%
adex,8.4,9.5,22.875,0.87,"9,955","6,000",-48.50%,-30.90%,128.9M,13.6M,8.40M,none,none,none,7.66,0.2,-0.09,7.56,2.42,1.24,46.57,1.26,104.2M,6.49M,2.85M,2.00%,1.00%,30-Apr,none,1.47%,2.77%,4,0.11,32.9M,20.0K,0.20%,20.0K,1.82,11.0K,10,10.13,1.30%,5.11%
adgi.ob,0.02,0.022,0.188,0.27,770.4K,1.10M,-82.40%,-76.40%,9.41M,427.6M,389.1M,none,none,none,0,0,0,0.01,0,6.28,none,2.67,3.20M,-910.0K,-1.01M,-31.70%,-29.50%,31-Dec,none,-40.90%,-104.41%,1.6,0.23,16.0K,none,none,none,none,none,0.02,0.021,5.00%,5.11%
adgo,0.25,0.41,1.906,1.94,14.6K,"6,000",-61.40%,-48.30%,9.22M,22.5M,2.90M,none,none,none,1.78,-1.32,-0.31,2.3,0.4,0.23,none,0.18,51.8M,-25.2M,-29.6M,-57.20%,-53.10%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.39,0.31,-20.51%,5.11%
adi,29,38,67.438,2.39,3.66M,4.54M,-36.10%,-14.40%,13.7B,361.8M,350.9M,none,none,none,7.49,1.39,0.1,6.95,7.39,5.07,27.36,5.47,2.66B,691.6M,532.0M,20.00%,24.60%,28-Oct,none,none,none,none,none,none,none,none,none,none,none,40,42.5,6.25%,5.11%
adic,9.6,14.94,28.25,1.6,548.9K,776.0K,18.30%,58.70%,918.8M,61.5M,54.1M,none,none,none,5.37,0.15,-0.3,6.07,2.78,2.78,101.63,2.46,349.6M,-586.0K,6.15M,1.80%,-1.90%,31-Oct,none,1.54%,1.88%,4.65,0.01,170.9M,1.04M,1.90%,809.0K,2.07,502.0K,15.4,15.65,1.62%,5.11%
adii.ob,0.6,0.6,1.1,none,318,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0.6,,0,5.11%
adin.ob,0.53,0.56,4.75,0.68,"1,773","1,000",-77.60%,-70.00%,1.90M,3.39M,1.40M,none,none,none,-2.59,-1.7,-0.94,10.34,none,none,none,0.05,37.6M,-1.91M,-5.72M,-15.20%,-6.40%,31-Dec,none,-21.12%,none,0.38,none,none,14.0K,1.10%,"2,000",1.56,"9,000",0.56,0.35,-37.50%,5.11%
adl,1.063,3.81,5.25,none,10.6K,"2,000",258.40%,380.70%,30.6M,8.03M,4.20M,none,none,none,0.67,-0.54,-0.14,0.07,0.71,5.73,none,58.81,260.0K,-1.13M,-2.03M,none,none,31-Dec,none,-79.39%,-113.70%,18.27,0.01,5.75M,none,none,none,none,none,3.81,3.42,-10.24%,5.11%
adlac,18.76,22.13,52.25,1.02,2.01M,1.88M,-33.40%,-10.70%,3.83B,173.1M,111.2M,none,none,none,31.27,-3.35,-1.45,20.9,0.58,0.71,none,1.06,3.26B,1.20B,-505.5M,-13.90%,5.10%,31-Dec,none,-2.14%,-10.43%,none,2.66,100.8M,20.4M,18.30%,20.6M,11.75,1.74M,22.15,25.11,13.36%,5.11%
adli,0.56,1.25,1.938,0.32,"3,864","4,000",5.20%,41.10%,8.59M,6.87M,4.70M,none,none,none,1.72,-2.56,-0.12,2.51,0.09,0.72,none,0.5,17.9M,-11.8M,-18.5M,none,-74.50%,31-Dec,none,-74.38%,-92.77%,5.17,0.13,594.0K,"2,000",0.00%,"2,000",0.29,"7,000",1.25,0.92,-26.40%,5.11%
adlr,9.85,15.35,29.32,none,175.4K,95.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,15.7,14.9,-5.10%,5.11%
adlt,1.1,1.75,12.813,2.67,109.9K,36.0K,-85.40%,-80.40%,40.8M,23.3M,14.0M,none,none,none,4.22,-0.1,-0.04,9.78,0.16,0.41,none,0.18,219.4M,16.8M,-2.28M,0.20%,6.40%,30-Jun,none,0.12%,-2.35%,2.08,1.67,3.65M,451.0K,3.20%,460.0K,4.14,109.0K,1.75,1.75,0.00%,5.11%
adm,10.238,13.93,15.229,0.22,1.40M,1.97M,31.50%,76.30%,8.79B,631.3M,555.5M,0.19,1.36%,none,9.56,0.6,0.2,31.01,1.24,1.46,23.1,0.45,20.9B,1.32B,405.5M,1.90%,3.50%,30-Jun,none,none,none,none,none,none,none,none,none,none,none,14.69,15.39,4.77%,5.11%
admg.ob,0.23,0.24,1,0.53,"3,955","1,000",-70.50%,-60.40%,2.08M,8.67M,4.20M,none,none,none,0.2,-0.32,-0.05,4.55,0.11,1.19,none,0.05,39.4M,-1.50M,-2.82M,-7.10%,-4.70%,30-Nov,none,-16.73%,-88.22%,1.04,2.41,924.0K,0,none,0,none,26.0K,0.24,0.24,0.00%,5.11%
admt.ob,0.02,0.03,0.313,0.5,120.1K,247.0K,-85.20%,-80.20%,1.42M,47.4M,8.10M,none,none,none,0.04,-0.01,0,0.04,0,0.85,none,0.81,1.75M,-472.0K,-712.0K,-40.70%,-40.70%,31-Mar,none,-26.93%,-34.93%,3.12,0.08,56.0K,11.0K,0.00%,33.0K,0.12,91.0K,,0.035,0,5.11%
ado,7.3,11.05,17.79,0.85,22.6K,26.0K,-35.00%,-12.80%,8.19B,741.5M,400.4M,none,none,none,1.6,-0.4,-0.09,23.41,0.38,6.9,none,0.47,17.4B,806.9M,-298.5M,-1.70%,0.20%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,11.11,12.89,16.02%,5.11%
