Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return
tpr,1.85,2.29,3.8,0.44,"3,091","5,000",-16.70%,11.70%,15.1M,6.61M,3.00M,0.2,8.73%,none,9.83,-2.11,-0.44,30.75,none,0.23,none,0.07,201.9M,-10.9M,-13.8M,-6.80%,-7.80%,31-Dec,none,-8.63%,-19.18%,1.63,0.74,none,0,none,0,none,"1,000",2.35,3,27.66%,5.11%
tpth,2.9,6.01,13,0.3,163.4K,131.0K,-30.30%,-6.60%,224.1M,37.3M,17.2M,none,none,none,2.18,-0.53,-0.12,1.01,1.32,2.76,none,5.93,32.5M,-10.8M,-16.9M,-51.90%,-53.20%,31-Dec,none,-21.59%,-26.61%,6.27,0.05,45.4M,745.0K,4.30%,633.0K,7.23,103.0K,6.15,6.45,4.88%,5.11%
tpti,2.806,7.95,27.06,none,15.0K,"1,000",-67.20%,-56.00%,32.1M,4.04M,3.10M,none,none,none,14.04,-2.4,-0.93,none,13.12,0.57,none,none,0,-13.7M,-9.68M,none,none,31-Dec,none,-11.69%,-13.80%,8.08,0,53.0M,80.0K,2.60%,0,3.64,22.0K,7.52,7.92,5.32%,5.11%
tpy,1.5,2.2,3.99,-0.14,"9,136","6,000",-29.60%,-5.60%,55.3M,25.1M,10.3M,none,none,none,1.44,-0.23,-0.07,0.14,0.1,1.53,none,15.92,3.38M,-3.50M,-5.61M,none,none,31-Dec,none,-10.62%,-14.93%,2.93,0.57,2.55M,0,none,0,none,"5,000",2.2,1.75,-20.45%,5.11%
tq,0.5,1.05,4.75,1.09,"7,136","5,000",-76.70%,-68.70%,4.69M,4.47M,1.90M,none,none,none,-2.07,-1.63,-0.38,0.08,0.11,none,none,12.88,290.0K,-2.71M,-5.79M,none,none,31-May,none,-98.20%,none,0.06,none,484.0K,73.0K,3.80%,73.0K,12.17,"6,000",1.01,1.99,97.03%,5.11%
tqnt,10.25,17.68,61.563,2.03,3.66M,3.06M,-52.20%,-35.90%,2.29B,129.7M,116.7M,none,none,none,5.65,0.5,0.01,2.91,4.27,3.13,35.57,6.08,359.8M,79.9M,50.9M,14.10%,18.20%,31-Dec,none,5.46%,9.44%,14.34,0.41,555.1M,4.54M,3.90%,3.88M,1.31,3.45M,19.07,15.9,-16.62%,5.11%
tqst.ob,0.35,0.75,1.6,none,45,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,,0,5.11%
tr,35.01,36.66,51.938,0.56,52.8K,46.0K,-5.10%,27.30%,1.85B,50.5M,24.7M,0.28,0.76%,none,9.49,1.47,0.28,8.57,2.21,3.86,24.89,4.28,428.2M,109.7M,73.3M,17.10%,24.80%,31-Dec,none,12.75%,15.94%,3.1,0.02,111.5M,567.0K,2.30%,631.0K,9.61,59.0K,36.85,38.24,3.77%,5.11%
tra,1.75,2.25,4.75,-0.13,31.0K,19.0K,9.10%,46.30%,170.7M,75.9M,26.6M,none,none,none,7.35,-0.62,-0.32,13.67,0.16,0.31,none,0.17,1.03B,143.5M,-46.9M,-4.60%,2.50%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,,2.8,0,5.11%
trac,0.625,1.31,1.97,3.08,88.5K,58.0K,10.30%,47.90%,75.8M,57.9M,31.2M,none,none,none,0.39,0.21,0.03,1.05,0.58,3.36,6.12,1.24,66.6M,18.3M,13.6M,19.00%,23.10%,31-Dec,none,35.26%,80.97%,none,0.14,34.3M,742.0K,2.40%,769.0K,9.16,81.0K,1.37,1.45,5.84%,5.11%
trad,1.5,1.94,5.79,none,31.4K,17.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,2.05,1.75,-14.63%,5.11%
trak,5.75,6.5,9.5,0.48,"2,409","2,000",-14.10%,15.30%,22.7M,3.49M,1.40M,none,none,none,3.07,0.49,0.04,10.38,0.69,2.12,13.32,0.63,37.8M,4.03M,1.77M,4.70%,8.10%,31-Dec,none,12.20%,18.07%,0.65,0,2.41M,0,none,0,none,"4,000",6.8,6.5,-4.41%,5.11%
trb,29.71,30.2,45.9,0.61,795.0K,857.0K,-18.20%,9.60%,8.98B,297.5M,199.3M,0.44,1.46%,none,18.42,0.03,-0.49,16.88,0.63,1.64,"1,041.38",1.79,5.42B,1.44B,23.9M,0.80%,17.90%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,31.29,36.1,15.37%,5.11%
trbc,7.5,12.06,13.25,none,"4,045","3,000",50.80%,102.20%,102.7M,8.52M,8.30M,0.48,3.98%,none,10.15,0.88,0.23,9.45,none,1.19,13.69,1.28,67.8M,none,6.33M,9.30%,none,31-Dec,none,0.65%,9.84%,none,none,none,none,none,none,none,none,12.03,12.2,1.41%,5.11%
trbd.ob,0.063,0.25,0.7,0.84,185.0K,221.0K,-40.80%,-20.60%,18.0M,72.1M,62.0M,none,none,none,-0.13,-0.28,-0.02,0,none,none,none,136.66,102.0K,-7.05M,-14.7M,none,none,31-Dec,none,-704.98%,none,0.04,none,none,1.47M,4.10%,883.0K,none,0,,,0,5.11%
trbo,0.75,3.17,5.5,0.65,30.3K,67.0K,-35.00%,-12.80%,51.9M,16.4M,6.20M,none,none,none,-0.14,-0.08,-0.1,0.4,0.1,none,none,7.85,6.37M,-4.69M,-1.31M,-13.10%,-83.70%,31-Dec,none,-8.65%,-253.47%,1.48,0.42,1.60M,63.0K,1.00%,65.0K,2.86,22.0K,3.27,4.75,45.26%,5.11%
trbr,1.125,1.72,2.969,0.04,"4,318","3,000",-20.20%,7.00%,16.8M,9.78M,4.10M,none,none,none,1.04,-2.08,-0.53,9.09,0.08,1.66,none,0.19,88.9M,-8.24M,-20.4M,-22.90%,-15.10%,31-Dec,none,-24.48%,-100.31%,1.21,4.29,747.0K,0,none,0,none,"7,000",1.72,1.4,-18.60%,5.11%
trbs,25.114,33.5,41.1,0.73,39.9K,46.0K,27.10%,70.40%,540.0M,16.1M,13.9M,0.6,1.79%,none,15.34,2.38,0.62,11.66,4.22,2.18,14.07,2.87,189.2M,none,38.6M,20.40%,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,33.86,37.29,10.13%,5.11%
trbx.ob,0.09,0.115,0.813,none,"5,000","2,000",-33.10%,-10.30%,2.13M,18.5M,5.70M,none,none,none,0.09,0,-0.01,0.03,0,1.27,57.5,3.92,473.0K,32.0K,22.0K,4.70%,6.80%,30-Jun,none,0.63%,1.20%,2.07,0.76,"5,000",none,none,none,none,none,0.115,0.1,-13.04%,5.11%
trc,19,23.9,28.5,0.12,12.5K,"8,000",5.70%,41.70%,342.2M,14.3M,1.10M,0.04,0.17%,none,5.09,-0.02,0.02,3.65,3,4.69,none,6.55,49.2M,4.44M,-347.0K,-0.70%,-1.00%,31-Dec,none,-0.32%,-0.64%,2.35,0.43,42.9M,56.0K,5.10%,53.0K,4,14.0K,24.16,23.14,-4.22%,5.11%
trcd,0.5,1.05,17.813,2.57,136.0K,100.0K,-93.80%,-91.70%,25.6M,24.4M,12.2M,none,none,none,0.79,-1.05,-0.33,0.01,1.11,1.33,none,122.16,204.0K,-19.8M,-24.9M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,,1.08,0,5.11%
trci,1.188,1.99,2.719,-0.36,"5,955",11.0K,-6.40%,25.60%,10.8M,5.44M,4.70M,0.04,2.01%,none,2.07,-0.07,0.01,3.25,0.04,0.96,none,0.61,17.8M,86.0K,-405.0K,-2.30%,-4.70%,31-Mar,none,none,none,none,none,none,none,none,none,none,none,1.96,1.9022,-2.95%,5.11%
trcr,1.2,1.44,3.25,1.05,"3,455",12.0K,-34.20%,-11.70%,6.36M,4.41M,2.70M,none,none,none,0.45,-0.35,-0.07,3.6,0.04,3.17,none,0.4,15.9M,-1.66M,-1.56M,-6.80%,-10.60%,31-Dec,none,-17.63%,-60.54%,0.88,0.33,193.0K,"2,000",0.10%,0,1,"2,000",1.44,1.4,-2.78%,5.11%
trdie.ob,0.01,0.016,1.031,1.43,10.5K,28.0K,-97.60%,-96.80%,112.0K,6.97M,800.0K,none,none,none,-0.27,-0.56,-0.23,1.37,0.05,none,none,0.01,8.42M,-2.30M,-3.60M,-42.80%,-42.80%,30-Jun,none,-95.26%,none,0.42,none,319.0K,none,none,none,none,none,0.016,,0,5.11%
trdo,3.75,27.15,33.79,1.09,305.6K,351.0K,287.90%,420.10%,393.5M,14.5M,11.2M,none,none,none,3.08,-0.85,-0.15,5.13,0.52,8.82,none,5.29,64.8M,-10.3M,-10.5M,-16.20%,-16.00%,31-Dec,none,-18.33%,-31.20%,1.63,0.22,7.56M,772.0K,6.90%,464.0K,2.44,316.0K,27.25,27.35,0.37%,5.11%
trdr,3.6,5.5,8.75,none,818,0,-31.20%,-7.80%,501.7M,91.2M,13.1M,none,none,none,4.31,-1.3,-0.29,3.92,0.21,1.27,none,1.4,358.6M,-12.7M,-118.7M,-32.20%,-26.00%,31-Dec,none,-14.64%,-27.20%,1.05,0.53,18.9M,34.0K,0.30%,44.0K,17,"2,000",5.5,6.39,16.18%,5.11%
trdx.ob,0.05,0.06,0.406,0.76,"4,818","2,000",-82.60%,-76.60%,339.0K,5.65M,2.90M,none,none,none,-2.66,-2.98,-0.1,2.34,0.24,none,none,0.03,13.2M,-14.0M,-18.3M,none,none,31-Dec,none,-123.95%,none,0.14,none,1.34M,0,none,0,none,10.0K,0.06,0.06,0.00%,5.11%
tre,27.25,28.5,40.6,0.72,"1,182",0,-11.30%,19.00%,183.1M,6.42M,400.0K,0.28,0.98%,none,26.24,3.96,0.78,5.91,0.25,1.09,7.19,4.82,37.3M,29.2M,25.1M,67.90%,79.30%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,,28.5,0,5.11%
tree,1.781,5.15,7.39,none,39.6K,83.0K,45.90%,95.60%,97.7M,19.0M,4.70M,none,none,none,-0.15,-2.12,-0.2,2.98,0.28,none,none,1.73,54.9M,-41.9M,-40.5M,-71.80%,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,5.19,5.76,10.98%,5.11%
tres.ob,0.005,0.007,0.043,1.88,"7,364","5,000",-56.20%,-41.30%,78.0K,11.2M,7.50M,none,none,none,-3.95,-0.97,0.16,13.11,0.17,none,none,0,146.3M,-8.41M,-10.9M,-7.40%,-7.10%,30-Apr,none,-26.28%,none,2.63,none,1.89M,0,none,"1,000",none,36.0K,,0.009,0,5.11%
trfx,1.375,4.18,4.45,1.69,21.8K,49.0K,71.50%,129.90%,59.1M,14.1M,6.90M,none,none,none,3.06,-0.06,0.1,1.76,2.54,1.37,none,2.37,26.5M,4.31M,-772.0K,-2.90%,14.70%,30-Nov,none,-1.50%,-1.83%,4.95,0,33.6M,0,none,"3,000",none,22.0K,4.18,5.85,39.95%,5.11%
trgi.ob,0.406,1.09,1.1,0.13,636,"3,000",20.30%,61.30%,4.49M,4.12M,1.20M,none,none,none,-2.98,0.22,0.07,0.14,0.54,none,5.05,7.77,579.0K,-2.23M,907.0K,none,none,31-Dec,none,-16.79%,none,1.44,none,2.21M,0,none,64.0K,none,"1,000",,,0,5.11%
trgl,3.5,3.65,7.625,0.07,11.9K,24.0K,-40.40%,-20.10%,23.3M,6.37M,3.10M,none,none,none,3.6,0.69,0.14,2.49,0.19,1.01,5.3,1.47,18.8M,12.3M,4.66M,26.60%,41.50%,31-Dec,none,13.38%,24.80%,2.68,0.71,1.23M,"5,000",0.20%,"6,000",1.25,"4,000",3.7,4,8.11%,5.11%
trgny,1,1.8,12,0.17,"2,455","5,000",-78.30%,-71.00%,31.9M,17.7M,6.36M,none,none,none,3.35,-1.11,-0.22,0.14,3.29,0.54,none,12.43,2.75M,-22.6M,-20.8M,none,none,31-Dec,none,-38.71%,-49.21%,13.3,0,75.5M,10.0K,0.20%,10.0K,10,"1,000",1.8,1.71,-5.00%,5.11%
trgp.ob,0.025,0.035,0.375,2.18,15.9K,"4,000",-82.80%,-76.90%,1.11M,31.8M,11.8M,none,none,none,2.23,-0.32,-0.27,15.21,0.11,0.02,none,0,480.9M,18.4M,-10.2M,-1.70%,-0.20%,31-Dec,none,-2.76%,-13.38%,0.62,1.78,3.52M,14.0K,0.10%,14.0K,0.11,126.0K,,,0,5.11%
trh,61,83.75,89.5,0.35,21.3K,23.0K,36.60%,83.20%,4.37B,52.2M,11.0M,0.38,0.46%,none,35.58,1.19,-1.49,37.98,2.12,2.35,70.26,2.21,2.00B,none,63.3M,3.20%,1.30%,31-Dec,none,1.07%,3.38%,none,0,110.9M,495.0K,4.50%,509.0K,33,15.0K,85.25,90.04,5.62%,5.11%
trhh.ob,0.08,0.08,0.47,none,"5,909",20.0K,-74.20%,-65.40%,486.0K,6.07M,4.30M,none,none,none,-0.01,0,0,0.01,0,none,none,13.45,36.0K,-17.0K,-17.0K,-47.20%,-47.20%,31-Dec,none,-141.67%,none,0.12,none,"1,000",none,none,none,none,none,,0.1,0,5.11%
tri,23.6,26.9,37.5,0.55,447.2K,702.0K,3.70%,39.10%,1.92B,71.2M,45.6M,none,none,none,24.54,-0.13,0.09,43.35,0.3,1.1,none,0.62,2.16B,263.9M,-8.30M,-0.40%,0.80%,31-Dec,none,-0.33%,-0.81%,2.02,1.06,21.0M,4.07M,8.90%,3.80M,10.07,404.0K,27.46,27.75,1.06%,5.11%
trib,0.96,1.5,3.219,0.56,43.0K,67.0K,-48.90%,-31.50%,60.6M,40.4M,33.1M,none,none,none,1.39,0.08,0.03,0.8,0.13,1.08,18.99,1.88,35.2M,4.78M,3.19M,9.10%,11.70%,31-Dec,none,4.74%,5.80%,3.86,0.08,5.42M,"9,000",0.00%,0,0.25,36.0K,1.44,1.5,4.17%,5.11%
trid,3.6,4.43,9.25,1.85,128.3K,63.0K,-47.50%,-29.60%,59.1M,13.3M,10.7M,none,none,none,7.95,-5.52,-2.12,8.75,6.05,0.56,none,0.51,117.9M,4.79M,-72.4M,-61.40%,1.90%,30-Jun,none,none,none,none,none,none,none,none,none,none,none,4.57,5.85,28.01%,5.11%
trii.ob,0.125,0.65,1.156,0.86,51.4K,15.0K,-38.90%,-18.00%,11.4M,17.6M,15.5M,none,none,none,1.67,-1.44,-0.01,2.63,0.68,0.39,none,0.25,39.0M,-8.89M,-20.6M,-52.80%,-21.90%,31-Dec,none,-37.19%,-61.65%,2.09,0.29,11.7M,1.42M,13.40%,1.68M,none,0,0.65,0.52,-20.00%,5.11%
tril.ob,0.688,1.5,3.2,0.87,14.5K,"7,000",0.00%,34.10%,29.3M,19.5M,16.4M,none,none,none,0.04,-0.07,0,0.09,0.04,35.41,none,16.67,1.75M,-1.28M,-1.36M,-77.50%,-77.50%,31-Dec,none,-32.73%,-114.13%,0.48,0.02,793.0K,none,none,none,none,none,1.65,1.25,-24.24%,5.11%
tripe.ob,0.01,0.03,3,none,60.1K,46.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0.03,,0,5.11%
trk,15.938,23.43,30.2,0.58,61.6K,35.0K,25.40%,68.10%,978.2M,41.8M,13.4M,none,none,none,10.27,1.19,0.98,8.32,1.37,2.28,19.62,2.81,370.8M,144.5M,51.7M,13.90%,30.30%,31-Dec,none,5.16%,13.29%,1.05,0.94,57.2M,1.55M,11.60%,1.67M,37,42.0K,24.15,23.24,-3.77%,5.11%
trkn,6.96,8.51,16.72,0.43,46.2K,28.0K,-44.60%,-25.80%,109.1M,12.8M,7.70M,none,none,none,5.1,2.03,0.3,10.67,3,1.67,4.19,0.8,129.6M,29.2M,24.6M,19.20%,22.60%,31-Dec,none,24.41%,52.00%,2.17,0.41,38.4M,242.0K,3.10%,250.0K,5.04,48.0K,9.6,9.9,3.13%,5.11%
trkr.ob,0.001,0.006,0.147,none,177.7K,88.0K,-92.90%,-90.50%,553.0K,92.1M,86.6M,none,none,none,-0.04,-0.03,0,0,none,none,none,9.18,46.0K,-1.96M,-1.96M,none,none,31-Mar,none,-1266.19%,none,0.05,none,none,none,none,none,none,none,0.0061,0.0063,3.28%,5.11%
trly,4.5,6.34,27.125,none,461.3K,297.0K,-72.40%,-63.00%,3.94B,621.3M,391.4M,none,none,none,8.87,-0.81,-0.42,0.45,3.87,0.71,none,14.24,276.7M,-323.2M,-500.5M,none,none,31-Dec,none,-20.48%,-23.18%,6.69,0,2.41B,12.9M,3.30%,14.0M,32.44,399.0K,6.39,8.35,30.67%,5.11%
trmb,11,17.6,29.375,0.96,144.1K,117.0K,-24.30%,1.50%,437.6M,24.9M,19.6M,none,none,none,4.75,-0.78,-0.11,20.24,1.7,3.7,none,0.87,493.1M,35.6M,-18.9M,-3.80%,1.20%,29-Dec,none,none,none,none,none,none,none,none,none,none,none,18.2,16.88,-7.25%,5.11%
trmk,18,23.96,24.75,0.57,80.9K,74.0K,28.60%,72.50%,1.55B,64.6M,52.5M,0.54,2.25%,none,10.29,1.63,0.45,7.61,4.39,2.33,14.69,3.15,493.6M,none,105.8M,21.40%,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,24.19,24.13,-0.25%,5.11%
trmm,0.563,2.2,3.25,0.62,591,"2,000",-32.30%,-9.20%,15.5M,7.06M,2.70M,none,none,none,4.44,-0.85,-0.11,9.3,0.4,0.49,none,0.24,65.7M,3.83M,-6.02M,-8.60%,-8.90%,31-Dec,none,-5.31%,-17.64%,0.42,0.52,2.83M,0,none,"3,000",none,"1,000",1.92,1.45,-24.48%,5.11%
trms,23,39.701,80,0.45,166.8K,137.0K,-46.60%,-28.40%,690.2M,17.4M,8.00M,none,none,none,5.08,-3.08,-1.11,0.07,6,7.81,none,535.9,1.19M,-68.4M,-49.8M,none,none,31-Dec,none,-50.04%,-61.64%,6.17,0.03,104.2M,1.07M,13.40%,1.04M,4.88,220.0K,39.29,36.14,-8.02%,5.11%
trn,17.35,24.88,27.98,0.74,148.7K,118.0K,1.60%,36.20%,920.2M,37.0M,25.1M,0.72,2.89%,none,23.82,-1.75,0.21,44.78,0.08,1.04,none,0.56,1.66B,-47.3M,-64.6M,-3.90%,-2.80%,31-Mar,none,-3.66%,-7.09%,none,0.49,3.00M,1.47M,5.90%,1.40M,8.65,170.0K,25.45,26.66,4.75%,5.11%
trndq,0.002,0.035,2.016,2,18.3K,10.0K,-25.50%,-0.10%,373.0K,10.7M,3.00M,none,none,none,2.73,-1.09,-0.36,25.26,0.03,0.01,none,0,269.3M,4.33M,-11.6M,-4.30%,-0.90%,26-Feb,none,none,none,none,none,none,none,none,none,none,none,,,0,5.11%
trni,0.95,1.016,4.375,1.33,"1,000","1,000",-64.70%,-52.60%,3.19M,3.14M,1.00M,none,none,none,3.68,-1.16,-0.17,11.9,0.02,0.28,none,0.09,37.5M,-2.06M,-3.64M,-9.70%,-8.70%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.0159,1.02,0.40%,5.11%
trns,0.656,1.82,3.11,1.63,"3,727",0,12.00%,50.20%,11.3M,6.21M,5.00M,none,none,none,2.09,0.01,-0.07,12.18,0.06,0.87,364,0.15,73.9M,6.66M,44.0K,0.10%,-0.10%,31-Mar,none,0.09%,0.34%,1.81,1.97,400.0K,0,none,0,none,"4,000",1.82,1.51,-17.03%,5.11%
trnt.ob,0.781,1.58,1.95,0.77,"4,227","4,000",-0.90%,32.90%,7.54M,4.78M,4.20M,none,none,none,2.78,0.14,0.05,12.46,1.32,0.57,10.9,0.13,59.8M,826.0K,692.0K,1.20%,1.10%,30-Jun,none,none,none,none,none,none,none,none,none,none,none,1.58,1.82,15.19%,5.11%
tro,3.8,5.05,14.188,1.99,158.2K,327.0K,-52.20%,-35.90%,616.9M,122.2M,19.8M,none,none,none,2.92,0.38,0.15,3.27,1.81,1.73,13.43,1.55,408.5M,85.2M,47.0M,9.10%,20.00%,31-Dec,none,5.28%,13.64%,1.34,0,220.7M,201.0K,1.00%,202.0K,1.69,119.0K,5.3,6.46,21.89%,5.11%
trow,23.44,27.76,48.438,1.29,628.8K,661.0K,-40.00%,-19.50%,3.43B,123.6M,106.3M,0.6,2.16%,none,8.64,1.59,0.39,8.32,1.47,3.21,17.43,3.34,1.08B,393.3M,206.3M,19.10%,32.20%,31-Dec,none,14.22%,20.37%,none,0.13,181.1M,2.22M,2.10%,1.54M,3.41,650.0K,27.3,31.7,16.12%,5.11%
troy,2.813,3.8,8.563,3.12,"6,864","3,000",-34.60%,-12.30%,41.5M,10.9M,4.70M,none,none,none,3.08,-0.15,0.02,4.28,0.72,1.23,none,0.89,46.5M,-2.10M,-1.59M,-3.40%,-7.20%,30-Nov,none,-3.81%,-4.64%,4.4,0.01,7.66M,25.0K,0.50%,24.0K,4.17,"6,000",3.7,3.45,-6.76%,5.11%
trp,9.313,13.05,13.41,0.36,89.6K,93.0K,34.70%,80.60%,6.21B,475.5M,228.2M,0.57,4.38%,none,7.05,0.89,0.22,15.93,0.28,1.85,14.65,0.82,7.60B,1.80B,424.8M,6.20%,17.20%,31-Dec,none,3.08%,12.85%,0.91,1.74,132.2M,78.0K,0.00%,131.0K,0.94,83.0K,,12.66,0,5.11%
trph,0.51,1.27,32.125,none,208.0K,225.0K,-95.60%,-94.10%,34.6M,27.2M,11.4M,none,none,none,0.94,-1.24,-0.2,0.53,0.63,1.35,none,2.39,14.2M,-34.5M,-33.2M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.35,1.7,25.93%,5.11%
trps,7.05,19.69,22.05,0.95,37.8K,45.0K,42.50%,91.20%,146.1M,7.42M,2.70M,none,none,none,5.27,0.68,0.1,5.03,5.55,3.73,28.91,3.92,45.3M,5.09M,6.03M,14.10%,7.70%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,20.05,19.55,-2.49%,5.11%
trr,17.188,42.08,56.5,0.3,48.5K,32.0K,131.40%,210.30%,315.8M,7.50M,3.60M,none,none,none,9.39,1.12,0.34,15.61,0.11,4.48,37.4,2.7,124.2M,19.7M,8.98M,7.20%,12.80%,30-Jun,none,8.34%,14.65%,1.86,0.21,851.0K,276.0K,7.70%,259.0K,5.75,48.0K,42.5,45.01,5.91%,5.11%
trsi,1.79,2.44,10,none,11.8K,"3,000",-59.80%,-46.00%,29.9M,12.3M,4.50M,none,none,none,2.99,0.09,-0.09,2.23,1.57,0.82,26.24,1.09,27.6M,-2.34M,1.22M,4.40%,-14.30%,31-Jan,none,2.86%,3.28%,6.5,0,19.3M,74.0K,1.60%,75.0K,4.93,15.0K,2.44,2.2,-9.84%,5.11%
trsn.ob,3.687,4.02,15,0.81,91,0,-49.00%,-31.50%,1.84M,457.0K,100.0K,none,none,none,10.65,1.86,0.04,27.16,0.81,0.38,2.16,0.15,13.3M,1.08M,913.0K,6.90%,8.10%,31-Jan,none,10.06%,20.45%,1.54,0.13,370.0K,none,none,none,none,none,4,4,0.00%,5.11%
trst,8.913,11.92,13.174,0.32,79.2K,112.0K,13.60%,52.40%,848.1M,71.1M,64.1M,0.52,4.38%,none,2.83,0.6,0.16,2.38,0.62,4.21,19.9,5,174.7M,none,43.9M,25.10%,none,31-Dec,none,1.80%,22.93%,none,none,none,none,none,none,none,none,11.9,12.16,2.18%,5.11%
trt,2.96,3.25,5.188,1.37,"3,500","1,000",-36.60%,-15.00%,9.52M,2.93M,1.90M,none,none,none,3.96,0.4,0.08,12.32,3.02,0.82,8.11,0.26,36.1M,2.75M,1.16M,3.50%,3.10%,30-Jun,none,5.13%,10.49%,2.04,0.24,8.84M,0,none,"2,000",none,"3,000",3.2,2.66,-16.88%,5.11%
trti.ob,0.05,0.05,0.09,0.1,91,0,0.00%,34.10%,149.0K,2.98M,2.40M,none,none,none,-0.89,-0.35,-0.09,0.3,0.25,none,none,0.16,876.0K,-761.0K,-993.0K,none,-90.10%,31-Dec,none,-24.01%,none,0.53,none,735.0K,none,none,none,none,none,,0.05,0,5.11%
tru,5.41,7.12,14.2,0.36,73.8K,33.0K,8.50%,45.50%,61.2M,8.60M,5.20M,1.67,23.43%,none,4.97,2,0.63,2.08,0,1.43,3.55,3.43,17.9M,17.2M,17.2M,96.50%,96.50%,31-Dec,none,39.05%,39.18%,none,0,"7,000",136.0K,2.60%,70.0K,1.27,107.0K,7.15,6.7,-6.29%,5.11%
truc,0.002,0.002,0.406,2.93,"4,000","5,000",-99.20%,-98.90%,20.0K,10.1M,4.90M,none,none,none,1.59,-0.49,0.08,9.75,0.12,0,none,0,57.2M,331.0K,-1.75M,-3.10%,-1.30%,31-Dec,none,-6.45%,-41.01%,1.06,0.98,1.10M,0,none,0,none,61.0K,,,0,5.11%
TRUE,1.48,1.67,3.563,none,"3,500","2,000",-44.30%,-25.30%,9.94M,5.95M,2.90M,none,none,none,3.6,-0.13,-0.09,3.29,1.17,0.46,none,0.51,20.0M,-1.06M,-738.0K,-3.70%,-8.50%,30-Sep,none,-3.07%,-3.34%,11.87,0.03,6.97M,0,none,0,none,"4,000",1.77,1.75,-1.13%,5.11%
trukq.ob,0.001,0.001,0.03,-7.97,"1,455","4,000",-90.00%,-86.60%,"5,000",5.28M,1.20M,none,none,none,-6,-10.09,-0.99,53.47,0.01,none,none,0,282.6M,-8.79M,-53.4M,-18.90%,-13.00%,31-Dec,none,-22.46%,none,0.21,none,43.0K,85.0K,7.10%,57.0K,2.36,36.0K,,,0,5.11%
truy.ob,0.25,1.45,18.8,-2.21,"2,136","3,000",-84.60%,-79.30%,6.41M,4.42M,2.60M,none,none,none,-0.13,-1.5,-0.13,0.1,0.06,none,none,14.55,151.0K,-940.0K,-1.70M,none,none,31-Jan,none,-87.48%,-243.56%,0.82,none,275.0K,none,none,none,none,none,1.45,1.01,-30.34%,5.11%
trv,4.625,5.25,6.3,-0.12,727,"1,000",5.00%,40.80%,42.9M,8.17M,3.30M,none,none,none,2.74,0.5,0.09,9.24,1.1,1.92,10.52,0.57,79.4M,10.1M,4.28M,5.40%,8.10%,30-Jun,none,5.54%,20.95%,0.57,0,9.02M,0,none,0,none,"1,000",5.5,6,9.09%,5.11%
trvl.ob,0.05,0.05,3.75,-0.68,"2,909","8,000",-98.30%,-97.70%,658.0K,13.2M,5.70M,none,none,none,0.23,-0.41,-0.07,0.06,0.01,0.21,none,0.91,573.0K,-783.0K,-3.85M,none,none,31-Jul,none,-134.87%,-141.07%,10.54,0.01,79.0K,none,none,none,none,none,0.05,0.034,-32.00%,5.11%
trvs,1.55,1.8,4.344,1.36,"3,591","3,000",-44.60%,-25.70%,7.86M,4.37M,1.70M,none,none,none,8.94,-0.38,0.48,47.62,1.49,0.2,none,0.04,208.9M,7.29M,-1.68M,-0.80%,2.10%,30-Sep,none,-1.14%,-4.37%,1.18,2.24,6.52M,86.0K,5.10%,107.0K,21.5,"4,000",1.8,2.02,12.22%,5.11%
trw,27.43,33.79,45.45,1,600.9K,461.0K,-18.50%,9.40%,4.26B,126.1M,122.3M,0.7,2.07%,none,19.7,1.05,0.61,120.32,1.92,1.72,32.15,0.28,16.4B,717.0M,131.0M,0.80%,1.40%,31-Dec,none,0.82%,5.16%,0.68,2.61,242.0M,2.09M,1.70%,1.70M,3.81,548.0K,34.81,39.02,12.09%,5.11%
