"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","Delta Return"
"AMIC","10.36","11.24","13.00","0.71","3,209.23","4,300","-12.16%","8.85%","94.99M","8.45M","4.33M","N/A","N/A","14-Feb-03","9.566","0.45","0.45","9.606","1.382","1.16","25.20","1.15","81.17M","4.52M","3.90M","4.67%","4.12%","31-Dec","30-Jun-06","1.77%","4.88%","1.938","N/A","11.68M","1.23K","N/A","1.02K","0.5","28,277","11.45","10.53","-8.03","3.50","-11.54"
"AMIE","12.62","32.15","36.93","1.7","54,400","70,200","137.76%","8.85%","342.37M","10.65M","6.25M","0.40","1.20%","N/A","10.262","0.02","0.02","4.674","8.831","3.17","1,530.95","7.06","49.11M","-3.21M","219.00K","0.45%","-12.02%","31-Dec","30-Jun-06","-1.62%","0.20%","1.818","0.69","94.05M","365.74K","4.40%","286.53K","9.5","39,680","31.10","39.00","25.40","3.50","21.90"
"AMIN.OB","3.96","6.05","8.08","-0.53","3,226.15","700","-11.66%","8.85%","31.67M","5.23M","2.86M","N/A","N/A","31-Jul-06","2.37","-0.67","-0.67","6.175","1.001","2.53","N/A","1.02","30.90M","-1.29M","-3.34M","-10.82%","-6.94%","31-Dec","30-Jun-06","-4.61%","-24.10%","2.164","0.949","5.24M","N/A","N/A","N/A","N/A","1,000","","","0.00","3.50","-3.50"
"AMIS","7.83","9.55","12.19","1.94","303,855","278,000","-21.39%","8.85%","837.55M","87.70M","62.63M","N/A","N/A","N/A","3.966","0.42","0.42","6.403","1.237","2.36","23.01","1.48","554.50M","131.50M","36.90M","6.66%","12.43%","31-Dec","01-Jul-06","6.75%","11.85%","2.912","0.91","108.50M","2.99M","3.40%","2.65M","10.1","232,900","9.20","9.59","4.24","3.50","0.74"
"AMK","8.40","12.50","16.05","3.07","5,981.54","2,128.57","15.03%","8.85%","108.06M","8.65M","3.61M","N/A","N/A","16-May-00","7.498","0.548","0.548","9.459","1.316","1.67","22.81","1.34","80.69M","13.93M","4.85M","6.01%","9.82%","30-June","31-Mar-06","6.17%","7.86%","4.768","0.146","11.38M","1.10K","N/A","2.76K","0.1","1,900","12.00","13.25","10.42","3.50","6.91"
"AMKR","3.57","5.11","13.09","4.76","4,444,030","3,387,140","34.06%","8.85%","904.37M","176.98M","106.63M","N/A","N/A","N/A","1.652","0.50","0.50","14.266","0.811","3.36","10.14","0.39","2.52B","573.12M","93.32M","3.70%","12.40%","31-Dec","30-Jun-06","6.64%","37.99%","1.08","6.975","143.51M","13.79M","7.80%","13.88M","2.3","16,544,674","5.16","6.91","33.91","3.50","30.41"
"AMKT.OB","N/A","2.00","N/A","5.8","N/A","N/A","N/A","N/A","13.87M","6.94M","2.01M","N/A","N/A","N/A","0.075","-0.07","-0.07","0.647","0.04","26.67","N/A","3.44","4.04M","-343.85K","-425.00K","-10.53%","-10.55%","31-Dec","30-Jun-06","-21.09%","-65.54%","1.709","N/A","279.20K","N/A","N/A","N/A","N/A","500","","","0.00","3.50","-3.50"
"AMLH.OB","0.64","0.75","1.95","47.1","593.846","414.286","-25.74%","8.85%","7.98M","10.64M","3.34M","N/A","N/A","N/A","0.815","-0.16","-0.16","2.709","0.342","0.92","N/A","0.28","28.13M","3.63M","-1.63M","-0.69%","6.66%","31-Dec","30-Jun-06","1.31%","-3.03%","1.133","6.426","3.64M","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AMLJ.OB","0.75","0.85","1.40","2.96","4,749.23","4,800","-23.15%","8.85%","8.70M","10.23M","6.60M","N/A","N/A","01-Jul-96","0.816","0.19","0.19","0.915","0.176","1.01","4.38","0.91","9.28M","985.00K","2.02M","21.78%","4.37%","31-Mar","30-Jun-06","3.15%","27.82%","6.651","0.101","1.80M","0","N/A","0","0","12,700","0.85","0.89","4.71","3.50","1.20"
"AMLN","31.98","44.96","51.54","-0.8","2,117,980","1,729,010","35.21%","8.85%","5.58B","124.01M","119.72M","N/A","N/A","N/A","4.135","-2.23","-2.23","2.571","6.904","10.69","N/A","18.90","289.94M","-228.43M","-250.93M","-86.55%","-90.46%","31-Dec","30-Jun-06","-19.52%","-91.08%","7.209","0.732","856.17M","13.13M","10.90%","13.59M","5.5","1,476,034","42.52","43.96","3.39","3.50","-0.12"
"AMM","0.45","0.64","2.16","2.65","18,743.1","9,014.29","-71.43%","8.85%","4.98M","7.78M","7.46M","N/A","N/A","N/A","0.451","-0.282","-0.282","1.447","0.22","1.33","N/A","0.43","10.90M","-964.97K","-1.61M","-19.51%","-15.82%","31-Dec","30-Jun-06","-13.49%","-34.84%","1.702","0.316","1.71M","7.64K","0.10%","12.37K","0.5","400","","","0.00","3.50","-3.50"
"AMMD","14.88","18.76","23.49","2.21","1,072,640","889,214","-4.60%","8.85%","1.31B","69.92M","65.42M","N/A","N/A","22-Mar-05","4.534","0.27","0.27","4.128","5.419","4.12","69.48","4.54","287.21M","95.82M","19.40M","6.76%","27.50%","31-Dec","01-Jul-06","10.04%","6.46%","14.578","1.144","378.87M","7.18M","10.40%","6.36M","6.1","337,229","18.02","17.81","-1.17","3.50","-4.67"
"AMN","39.95","67.79","76.60","1.55","45,233.8","44,857.1","55.16%","8.85%","596.42M","8.80M","7.97M","0.80","1.20%","28-May-03","36.639","5.63","5.63","88.671","5.42","1.88","12.04","0.80","758.55M","72.70M","49.17M","6.48%","5.44%","30-Nov","04-Jun-06","5.69%","16.40%","2.532","0.313","47.69M","522.12K","6.50%","461.27K","14.1","36,900","65.02","73.25","12.66","3.50","9.16"
"AMNB","21.20","23.27","24.41","0.01","2,447.69","1,685.71","0.09%","8.85%","143.30M","6.16M","4.73M","0.88","3.80%","16-Jul-99","14.902","1.84","1.84","5.931","5.81","1.56","12.67","4.29","33.34M","N/A","10.40M","31.18%","58.01%","31-Dec","30-Jun-06","1.46%","12.75%","N/A","N/A","35.78M","13.53K","0.20%","23.33K","9.4","2,700","23.20","23.87","2.89","3.50","-0.61"
"AMO","13.45","14.42","16.75","1.09","10,238.5","21,757.1","0.48%","8.85%","53.09M","3.68M","N/A","1.29","8.80%","N/A","14.384","3.24","3.24","0.078","0","1.00","4.46","184.08","286.63K","N/A","11.92M","4158.36%","-271.26%","30-Sep","31-Mar-06","-0.94%","24.12%","0.375","N/A","493","15.55K","N/A","21.46K","1.4","13,500","14.27","14.65","2.66","3.50","-0.84"
"AMOT","3.36","4.75","5.99","-0.29","8,712.31","4,928.57","22.36%","8.85%","30.54M","6.43M","4.38M","N/A","N/A","N/A","4.203","0.19","0.19","12.576","0.101","1.16","24.48","0.39","80.29M","6.26M","1.31M","1.64%","3.76%","31-Dec","30-Jun-06","3.43%","5.01%","1.087","0.417","650.00K","23.88K","0.50%","25.26K","2.4","10,300","4.67","5.40","15.63","3.50","12.13"
"AMP","32.00","46.67","50.08","0","890,151","794,229","N/A","8.85%","11.38B","243.76M","243.32M","0.44","0.90%","N/A","29.642","2.09","2.09","30.806","11.351","1.58","22.31","1.49","7.66B","2.51B","520.00M","6.82%","28.77%","31-Dec","30-Jun-06","1.44%","7.31%","3.338","0.334","2.77B","3.25M","1.30%","2.60M","4","856,300","47.44","51.50","8.56","3.50","5.06"
"AMPH","11.37","16.70","18.73","1.52","10,018.5","2,600","37.68%","8.85%","46.06M","2.76M","1.49M","0.25","1.50%","N/A","9.86","1.49","1.49","12.93","6.321","1.69","11.21","1.30","35.49M","5.28M","4.40M","12.40%","13.85%","31-Dec","30-Jun-06","10.18%","16.60%","5.079","N/A","17.43M","1.15K","0.10%","351","0.1","4,400","15.65","16.28","4.03","3.50","0.52"
"AMPL","2.80","4.66","5.22","0.23","9,880","6,942.86","27.95%","8.85%","103.51M","22.21M","9.27M","N/A","N/A","N/A","4.379","-0.47","-0.47","1.137","3.389","1.07","N/A","4.48","23.14M","5.08M","-9.55M","-40.49%","13.30%","31-Dec","30-Jun-06","0.75%","-9.86%","4.762","0.5","75.29M","40.86K","N/A","55.72K","3.4","41,748","4.72","4.55","-3.60","3.50","-7.10"
"AMPX","9.90","13.12","31.00","5.62","6,681.54","11,757.1","-53.23%","8.85%","50.25M","3.83M","3.34M","N/A","N/A","12-Jun-03","-30.556","-1.77","-1.77","9.321","1.93","N/A","N/A","1.50","35.34M","3.87M","-7.44M","-19.01%","8.98%","31-Dec","30-Jun-06","8.43%","N/A","1.544","N/A","7.39M","18.44K","0.60%","16.62K","2.5","4,009","12.85","14.02","9.11","3.50","5.60"
"AMR","10.60","23.85","29.32","2.89","6,170,070","5,981,690","122.84%","8.85%","5.08B","213.02M","195.93M","N/A","N/A","10-Jun-98","-2.515","-3.01","-3.01","121.392","24.191","N/A","N/A","0.24","21.97B","1.63B","-558.00M","-2.54%","2.09%","31-Dec","30-Jun-06","0.95%","N/A","0.849","N/A","5.15B","22.44M","11.20%","25.34M","3.7","6,697,300","24.20","28.34","17.11","3.50","13.61"
"AMRB","21.05","24.85","29.00","0.22","8,429.23","10,814.3","16.93%","8.85%","137.54M","5.54M","4.98M","0.60","2.40%","07-Dec-05","11.286","1.63","1.63","5.219","5.83","2.22","15.25","4.72","29.30M","N/A","9.32M","31.82%","67.36%","31-Dec","30-Jun-06","1.53%","15.09%","N/A","N/A","32.27M","1.79K","N/A","2.15K","0.3","1,618","25.00","25.10","0.40","3.50","-3.10"
"AMRE.OB","N/A","0.007","N/A","10.06","N/A","N/A","N/A","N/A","1.76M","250.79M","228.52M","N/A","N/A","N/A","-0.007","-0.017","-0.017","0.004","0","N/A","N/A","4.64","448.79K","-2.07M","-2.05M","N/A","-681.78%","31-Dec","30-Jun-06","-178.25%","N/A","0.152","N/A","97.19K","N/A","N/A","N/A","N/A","23,872,442","","","0.00","3.50","-3.50"
"AMRI","8.41","9.47","14.36","0.8","128,949","114,071","-22.51%","8.85%","328.26M","34.66M","23.39M","N/A","N/A","25-Aug-00","9.678","0.15","0.15","5.365","3.088","0.99","61.90","1.92","172.38M","25.64M","4.97M","2.88%","5.98%","31-Dec","30-Jun-06","1.76%","1.59%","6.245","0.066","107.04M","1.56M","5.70%","1.60M","12","105,953","9.41","11.91","26.57","3.50","23.07"
"AMRN","1.03","2.65","3.92","4.25","132,151","70,871.4","79.05%","8.85%","215.19M","81.20M","48.21M","N/A","N/A","19-Oct-98","0.411","-0.33","-0.33","0.008","0.355","6.45","N/A","430.37","500.00K","-21.73M","-22.03M","N/A","-4573.20%","31-Dec","30-Jun-06","-40.57%","-75.88%","4.534","0.004","28.82M","190.15K","N/A","248.70K","1.2","93,404","2.67","2.26","-15.36","3.50","-18.86"
"AMS","5.20","6.41","7.75","1.83","6,196.92","7,057.14","7.38%","8.85%","32.20M","5.02M","3.44M","0.19","2.90%","N/A","3.732","0.369","0.369","3.865","1.457","1.71","17.37","1.66","19.41M","11.66M","1.87M","9.61%","30.27%","31-Dec","30-Jun-06","7.37%","10.15%","1.177","1.417","7.32M","5.33K","0.20%","1.19K","0.9","5,600","6.60","6.90","4.55","3.50","1.04"
"AMSC","6.73","9.40","11.89","4.31","239,826","275,200","-14.18%","8.85%","311.96M","33.19M","32.58M","N/A","N/A","29-Nov-94","3.322","-0.98","-0.98","1.612","1.669","2.82","N/A","5.91","52.72M","-20.65M","-31.96M","-60.63%","-53.16%","31-Mar","30-Jun-06","-11.94%","-25.71%","3.775","N/A","55.39M","3.76M","12.30%","3.69M","13.8","226,937","9.06","9.49","4.75","3.50","1.24"
"AMSF","8.12","9.75","14.35","0","16,343.1","25,357.1","N/A","8.85%","170.10M","17.45M","9.66M","N/A","N/A","N/A","6.449","1.83","1.83","27.773","1.788","1.53","5.33","0.58","296.91M","39.12M","19.55M","8.51%","12.37%","31-Dec","30-Jun-06","2.63%","20.47%","1.733","0.222","31.19M","13.69K","0.10%","15.09K","1.2","11,978","9.53","12.46","30.75","3.50","27.24"
"AMSG","19.68","23.10","28.39","1.25","270,374","291,257","-16.95%","8.85%","689.72M","29.86M","29.31M","N/A","N/A","25-Mar-04","10.744","1.18","1.18","14.678","0.592","2.10","19.61","1.55","435.91M","174.62M","36.47M","8.18%","35.34%","31-Dec","30-Jun-06","19.34%","12.23%","3.781","0.393","17.68M","3.31M","11.30%","4.50M","8.1","91,078","22.20","21.02","-5.32","3.50","-8.82"
"AMSU.OB","0.15","0.18","1.50","4.28","1,863.08","0","-82.00%","8.85%","7.92M","44.00M","8.14M","N/A","N/A","N/A","0.062","-0.02","-0.02","0.017","0.029","2.90","N/A","10.91","726.01K","-501.01K","-796.50K","-109.71%","-50.40%","31-Dec","30-Jun-06","-10.88%","-24.85%","22.255","N/A","1.27M","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AMSWA","4.35","6.75","7.48","2.04","48,370.8","64,728.6","15.62%","8.85%","165.50M","24.52M","24.25M","0.32","4.60%","24-Jul-90","3.235","0.21","0.21","3.305","2.591","2.11","32.45","2.09","80.04M","10.93M","5.24M","6.55%","8.69%","30-Apr","31-Jul-06","4.23%","6.69%","3.31","N/A","63.52M","70.20K","0.30%","73.43K","1.7","60,157","6.75","7.20","6.67","3.50","3.16"
"AMSY.OB","N/A","1.50","N/A","0","N/A","N/A","N/A","N/A","6.00M","4.00M","1.98M","N/A","N/A","N/A","0.021","-0.01","-0.01","0.033","0.016","71.43","N/A","52.75","113.75K","-18.90K","-31.62K","-26.94%","-25.10%","31-Dec","30-Jun-06","N/A","N/A","3.632","N/A","65.07K","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AMT","22.73","35.98","36.92","1.53","2,293,360","2,110,900","49.90%","8.85%","15.10B","419.59M","419.04M","N/A","N/A","N/A","10.496","-0.41","-0.41","3.094","0.204","3.46","N/A","14.09","1.08B","685.48M","-104.94M","-13.20%","19.89%","31-Dec","31-Mar-06","2.05%","-3.58%","0.395","0.818","85.57M","23.35M","5.60%","24.34M","12.7","1,804,400","35.81","36.02","0.59","3.50","-2.92"
"AMTA.OB","1.50","2.30","4.90","2.32","1,004.62","1,428.57","-48.72%","8.85%","7.60M","3.31M","1.76M","N/A","N/A","N/A","-0.644","-1.25","-1.25","0.972","0.201","N/A","N/A","2.13","3.11M","-3.19M","-4.30M","-128.21%","-106.20%","31-Dec","30-Jun-06","-36.79%","N/A","1.419","N/A","665.00K","0","N/A","0","0","1,150","","","0.00","3.50","-3.50"
"AMTC","4.16","5.10","7.10","0.07","253.846","485.714","-6.90%","8.85%","17.35M","3.40M","1.24M","N/A","N/A","N/A","5.413","-0.09","-0.09","1.457","0.238","0.95","N/A","5.17","3.37M","N/A","-216.39K","3.59%","12.11%","30-June","31-Mar-06","0.21%","0.66%","2.419","1.495","808.19K","10.00K","0.40%","10.07K","27.2","400","","","0.00","3.50","-3.50"
"AMTD","13.30","18.60","26.37","2.23","5,633,900","3,936,940","-9.77%","8.85%","11.36B","610.73M","491.70M","N/A","N/A","06-Jul-99","2.704","0.98","0.98","3.099","12.246","6.97","19.04","7.53","1.53B","N/A","493.04M","32.26%","52.11%","30-Sep","30-Jun-06","2.54%","32.32%","1.046","1.217","7.48B","15.12M","3.00%","12.34M","1.9","3,626,873","18.66","16.47","-11.74","3.50","-15.24"
"AMTN.OB","N/A","0.81","N/A","0","N/A","N/A","N/A","N/A","19.30M","23.83M","6.51M","N/A","N/A","N/A","-0.007","-0.01","-0.01","0.02","0.002","N/A","N/A","53.52","365.16K","-156.01K","-206.15K","-56.45%","-43.31%","31-May","31-May-06","-99.55%","N/A","0.502","N/A","50.70K","N/A","N/A","N/A","N/A","12,500","","","0.00","3.50","-3.50"
"AMTY","4.15","5.85","9.56","2.95","19,116.9","20,042.9","3.44%","8.85%","122.97M","21.02M","17.22M","N/A","N/A","N/A","0.275","-0.26","-0.26","0.1","0.146","20.76","N/A","59.25","2.03M","-4.28M","-5.32M","-262.84%","-262.84%","30-June","30-Jun-06","-54.10%","-103.13%","12.027","N/A","3.07M","547.91K","3.50%","538.41K","28.2","26,072","5.72","5.65","-1.22","3.50","-4.73"
"AMU","9.92","10.89","11.32","0.07","16,786.2","25,300","-3.30%","8.85%","121.37M","11.15M","N/A","0.57","5.30%","N/A","11.067","0.26","0.26","0.995","0.036","0.98","42.71","10.89","11.09M","N/A","2.85M","47.60%","83.73%","31-Oct","30-Apr-06","2.69%","2.45%","18.96","N/A","397.91K","11.76K","N/A","3.65K","0.7","35,100","10.84","10.64","-1.85","3.50","-5.35"
"AMV","3.22","4.88","4.97","1.04","54,047.7","22,300","19.85%","8.85%","117.76M","24.13M","21.98M","N/A","N/A","N/A","5.062","0.311","0.311","1.335","0.087","0.97","15.69","3.67","32.19M","15.84M","-11.99M","23.30%","8.59%","31-Dec","30-Jun-06","0.57%","-11.40%","1.052","1.035","2.11M","142.82K","0.70%","144.61K","2.8","12,300","4.88","5.15","5.53","3.50","2.03"
"AMWD","23.00","34.35","41.00","1.54","278,255","405,443","0.90%","8.85%","546.89M","15.92M","10.43M","0.24","0.70%","27-Sep-04","15.69","2.38","2.38","52.239","4.44","2.14","14.44","0.63","844.86M","100.95M","39.17M","4.64%","7.39%","30-Apr","31-Jul-06","10.58%","16.60%","2.327","0.117","70.68M","4.00M","39.30%","2.42M","19.2","190,782","33.31","36.99","11.05","3.50","7.55"
"AMWW.OB","N/A","0.53","N/A","0.59","N/A","N/A","N/A","N/A","18.46M","34.83M","16.21M","N/A","N/A","N/A","-0.039","-0.05","-0.05","0.047","0.008","N/A","N/A","11.56","1.51M","-462.98K","-1.46M","-96.63%","-80.70%","31-Dec","30-Jun-06","-12.98%","N/A","0.254","N/A","290.50K","N/A","N/A","N/A","N/A","120","","","0.00","3.50","-3.50"
"AMX","22.20","38.81","41.25","2.1","4,247,630","3,894,140","52.03%","8.85%","70.01B","1.80B","1.28B","0.35","0.90%","21-Jul-05","5.367","1.97","1.97","10.19","2.094","7.20","19.69","3.76","18.49B","5.89B","3.58B","19.34%","21.84%","31-Dec","30-Jun-06","11.54%","42.08%","0.997","0.803","3.78B","9.40M","N/A","8.76M","2.5","3,270,400","38.95","42.87","10.06","3.50","6.56"
"AMY","6.70","7.28","7.97","0.12","10,226.2","14,485.7","-8.31%","8.85%","45.90M","6.31M","5.90M","0.50","6.80%","N/A","28.805","-0.314","-0.314","7.436","0.498","0.25","N/A","0.97","47.56M","20.22M","-7.10M","19.71%","24.72%","31-Dec","30-Jun-06","2.41%","2.55%","6.566","0.752","3.14M","3.67K","N/A","2.75K","0.3","12,100","7.40","7.68","3.78","3.50","0.28"
"AMZB.OB","0.10","0.118","0.42","2.59","249,292","283,129","-15.38%","8.85%","4.44M","37.59M","18.49M","N/A","N/A","N/A","-0.005","-0.068","-0.068","N/A","0.001","N/A","N/A","N/A","N/A","-560.86K","-2.09M","N/A","N/A","31-July","30-Apr-06","-119.72%","N/A","0.757","N/A","28.30K","N/A","N/A","N/A","N/A","275,250","0.10","0.09","-10.00","3.50","-13.50"
"AMZN","25.76","32.33","50.00","2.89","8,311,300","8,323,910","-24.70%","8.85%","13.54B","418.94M","313.20M","N/A","N/A","02-Sep-99","0.921","0.71","0.71","22.27","3.387","35.29","45.66","1.47","9.25B","552.00M","302.00M","3.26%","4.40%","31-Dec","30-Jun-06","8.74%","189.34%","1.53","3.457","1.42B","40.23M","12.80%","36.52M","3.4","5,479,812","30.87","38.09","23.39","3.50","19.89"
"AN","18.44","20.57","22.94","1.2","1,180,110","1,141,890","3.81%","8.85%","4.38B","212.99M","154.23M","N/A","N/A","10-Jun-96","17.292999","1.42","1.42","77.423","0.167","1.20","14.49","0.23","19.49B","904.40M","371.20M","1.87%","4.18%","31-Dec","30-Jun-06","5.93%","9.10%","1.122","1.087","35.60M","13.01M","6.20%","13.21M","10.6","763,000","20.89","20.05","-4.02","3.50","-7.52"
"ANAD","3.05","7.28","9.26","4.11","1,541,830","896,543","120.18%","8.85%","343.91M","47.24M","45.93M","N/A","N/A","01-Mar-00","2.307","-0.47","-0.47","3.624","2.686","3.12","N/A","2.46","138.50M","-3.92M","-18.12M","-13.08%","-12.14%","31-Dec","01-Jul-06","-4.84%","-20.76%","2.518","0.795","126.87M","4.96M","10.80%","5.27M","3.4","702,900","7.15","8.08","13.01","3.50","9.51"
"ANAT","110.02","114.02","132.74","0.42","11,004.6","3,942.86","-6.04%","8.85%","3.02B","26.48M","N/A","3.00","2.60%","N/A","127.124001","7.40","7.40","115.509","11.632","0.90","15.40","N/A","3.06B","319.94M","197.08M","6.44%","10.24%","31-Dec","30-Jun-06","1.13%","5.84%","0.896","0.04","307.98M","15.51K","N/A","26.32K","1.9","1,601","115.88","116.00","0.10","3.50","-3.40"
"ANCPA.PK","6.00","6.25","20.00","N/A","83.0769","514.286","-44.19%","8.85%","23.10M","3.70M","3.04M","N/A","N/A","N/A","5.504","-16.01","-16.01","41.056","1.006","1.09","N/A","0.15","151.58M","3.73M","-59.11M","-39.00%","-3.42%","30-Sep","30-Jun-06","-2.89%","-116.65%","0.82","0.277","3.72M","N/A","N/A","N/A","N/A","74,200","6.25","10.00","60.00","3.50","56.50"
"ANCX","8.40","9.00","15.10","-0.2","14,576.9","14,857.1","-5.26%","8.85%","95.91M","10.66M","9.08M","0.02","0.20%","27-Dec-05","4.151","0.71","0.71","5.652","1.445","2.17","12.64","2.13","45.03M","N/A","6.79M","15.07%","49.67%","31-Dec","30-Jun-06","1.27%","21.39%","N/A","N/A","15.40M","3.81K","0.10%","532","0.2","2,200","9.43","9.70","2.86","3.50","-0.64"
"ANDE","13.25","33.61","62.70","1.84","632,348","542,100","129.34%","8.85%","514.23M","15.30M","12.86M","0.18","0.60%","29-Jun-06","11.411","1.85","1.85","88.579","1.011","2.92","18.16","0.38","1.33B","77.66M","28.88M","2.17%","3.39%","31-Dec","30-Jun-06","5.89%","18.12%","1.395","1.427","15.47M","1.62M","14.90%","2.09M","2.9","564,295","33.00","35.95","8.94","3.50","5.44"
"ANDR.OB","0.03","0.095","0.17","0.64","94,963.1","132,986","80.00%","8.85%","5.56M","58.51M","54.56M","N/A","N/A","18-Sep-97","0.083","-0.006","-0.006","0.075","0.006","1.08","N/A","1.20","4.39M","155.37K","-361.64K","-8.24%","-7.77%","31-Dec","30-Jun-06","-3.64%","-7.17%","2.325","0.002","343.67K","0","N/A","0","0","65,557","","","0.00","3.50","-3.50"
"ANDS","2.64","3.07","16.60","2.75","504,752","408,943","-73.73%","8.85%","87.68M","28.56M","26.36M","N/A","N/A","N/A","2.442","-0.70","-0.70","0.247","3.299","1.23","N/A","12.48","6.87M","-17.05M","-19.36M","-281.95%","-336.65%","31-Dec","30-Jun-06","-17.76%","-44.26%","9.406","N/A","94.24M","1.58M","5.70%","1.62M","4","126,358","2.95","3.41","15.59","3.50","12.09"
"ANDW","7.08","9.43","14.25","2.11","4,566,490","1,989,410","-13.31%","8.85%","1.51B","159.66M","158.86M","N/A","N/A","12-Mar-97","9.9","0.21","0.21","12.888","0.727","0.93","46.00","0.72","2.07B","165.30M","32.91M","1.59%","4.03%","30-Sep","30-Jun-06","2.30%","2.10%","2.295","0.191","116.11M","8.90M","5.60%","8.03M","1.3","3,512,618","9.10","9.26","1.76","3.50","-1.74"
"ANEN","12.87","21.56","25.00","2.75","171,889","494,186","56.09%","8.85%","381.57M","17.70M","16.82M","N/A","N/A","28-Nov-00","9.794","0.69","0.69","6.147","4.661","2.20","31.34","3.61","105.46M","20.83M","11.35M","11.54%","11.52%","30-June","30-Jun-06","5.35%","6.85%","10.387","N/A","82.49M","743.57K","4.40%","758.56K","4.8","129,456","20.41","20.11","-1.47","3.50","-4.97"
"ANF","45.59","70.74","71.85","1.31","2,120,780","1,952,070","51.83%","8.85%","6.23B","88.08M","87.57M","0.70","1.00%","16-Jun-99","12.616","3.92","3.92","33.954","3.803","5.66","18.05","2.11","2.98B","711.57M","358.19M","12.01%","19.11%","28-Jan","29-Jul-06","20.69%","36.68%","1.898","N/A","334.99M","4.21M","4.80%","5.03M","1.7","2,360,800","70.26","76.65","9.09","3.50","5.59"
"ANGN","2.00","6.79","10.02","5.35","193,831","496,014","200.00%","8.85%","24.65M","3.63M","3.61M","N/A","N/A","N/A","3.687","0.41","0.41","8.184","0.678","1.95","16.68","0.88","29.60M","2.54M","1.28M","5.11%","4.26%","31-Oct","31-Jul-06","4.80%","10.24%","2.334","N/A","2.46M","4.00K","0.10%","6.82K","0.2","152,962","6.74","10.69","58.61","3.50","55.10"
"ANGO","15.20","21.63","31.29","4.49","241,602","566,686","-10.15%","8.85%","335.33M","15.50M","12.69M","N/A","N/A","N/A","7.979","0.53","0.53","6.338","5.789","2.58","40.81","4.07","78.45M","11.83M","6.87M","8.75%","13.14%","3-June","03-Jun-06","6.84%","7.96%","11.303","0.024","89.75M","674.82K","4.50%","627.15K","6.5","549,091","20.97","21.65","3.24","3.50","-0.26"
"ANH","6.89","8.46","8.48","1","270,777","269,829","0.48%","8.85%","383.97M","45.39M","44.50M","0.08","1.00%","N/A","9.146","-0.17","-0.17","0.093","0.013","0.91","N/A","88.57","4.28M","N/A","-8.02M","-92.83%","25.37%","31-Dec","30-Jun-06","-0.05%","-0.79%","0.458","13.662","588.00K","3.42M","7.80%","3.57M","11.2","277,100","8.27","9.08","9.79","3.50","6.29"
"ANIK","9.37","13.11","14.95","1.1","29,635.4","16,814.3","24.03%","8.85%","139.31M","10.63M","9.74M","N/A","N/A","N/A","3.92","0.50","0.50","2.876","4.341","3.25","26.27","4.47","30.28M","8.79M","5.59M","18.45%","25.16%","31-Dec","30-Jun-06","8.29%","14.67%","9.045","N/A","46.13M","19.29K","0.20%","18.13K","0.6","29,608","13.49","12.69","-5.93","3.50","-9.43"
"ANL","21.55","23.23","28.69","0.58","14,178.5","11,900","-0.81%","8.85%","181.12M","7.80M","5.83M","1.00","4.20%","24-Nov-97","14.429","1.36","1.36","12.257","1.09","1.62","17.09","2.01","90.29M","25.57M","10.54M","13.82%","22.38%","31-Dec","30-Jun-06","3.71%","9.58%","1.018","1.665","8.50M","43.38K","0.70%","39.93K","4.1","7,300","23.46","25.90","10.40","3.50","6.90"
"ANLT","0.25","0.76","3.74","8.2","41,056.9","190,600","-41.55%","8.85%","2.87M","3.78M","3.77M","N/A","N/A","02-Oct-02","0.666","-0.48","-0.48","1.559","0.214","1.25","N/A","0.64","4.92M","-1.55M","-1.52M","-30.02%","-33.23%","30-Sep","30-Jun-06","-20.07%","-49.08%","4.204","0.708","810.00K","17.07K","0.50%","54.72K","0.6","55,445","0.75","0.56","-25.33","3.50","-28.84"
"ANLY","1.79","2.17","3.00","2.16","46,523.1","124,757","-20.15%","8.85%","54.42M","25.08M","23.57M","N/A","N/A","04-Dec-97","2.298","-0.59","-0.59","13.775","0.014","0.95","N/A","0.16","338.84M","2.96M","-14.62M","-4.32%","-0.27%","31-Dec","01-Jul-06","-0.54%","-22.97%","1.621","0.098","362.00K","6.44K","N/A","5.96K","0.2","69,580","2.12","1.96","-7.55","3.50","-11.05"
